demand,done,dropped,delay,delay_budget,service_time,avg_tx_power,avg_chan_gain,avg_signal,avg_interference,avg_sinr
1500000.0,0.0,1500000.0,0.05000000000000004,0.05,0.0,,,,,
1500000.0,1500000.0,0.0,0.07400000000000005,0.3,0.036000000000000025,1.2200519469148237,5.213757972975168e-14,3.6069140957415793e-12,0.0,18.077392975759338
1500000.0,1500000.0,0.0,0.04900000000000004,0.15,0.04000000000000003,1.568960516554313,2.809817020644001e-14,2.5055868289310537e-12,0.0,12.557681314048825
1500000.0,1500000.0,0.0,0.12000000000000009,0.15,0.047000000000000035,2.7786318124851106,1.0118460445520395e-14,1.60440642216227e-12,0.0,8.041080163373366
1500000.0,1500000.0,0.0,0.02900000000000002,0.3,0.027000000000000017,2.764650140314661,6.024478157886811e-14,9.653877845729105e-12,0.0,48.384003312765735
1500000.0,1500000.0,0.0,0.1540000000000001,0.3,0.011000000000000003,5.6000000000000005,2.7992554327380466e-11,8.621706732833184e-09,8.44359270836831e-14,30362.167888602184
1500000.0,1500000.0,0.0,0.057000000000000044,0.3,0.016000000000000007,5.6000000000000005,5.744804255130477e-13,1.769399710580187e-10,0.0,886.8005461265788
1500000.0,1500000.0,0.0,0.03400000000000002,0.15,0.023000000000000013,2.9597154221206536,1.2564063654922096e-13,2.1656303420682366e-11,3.799608066970026e-14,81.07004900013631
1500000.0,1500000.0,0.0,0.07000000000000005,0.15,0.027000000000000017,3.326316382227608,1.1742999256673738e-13,2.7188647950600725e-11,3.3080460372681983e-13,48.759712227261616
1500000.0,1500000.0,0.0,0.03000000000000002,0.15,0.026000000000000016,4.660324001815175,4.3733845872900866e-14,1.15575491679698e-11,2.0146335645250877e-14,53.39525516111447
1500000.0,1500000.0,0.0,0.037000000000000026,0.15,0.035000000000000024,0.8199845420078737,4.902988718424107e-13,5.6285249422454685e-12,1.2399910326741442e-13,20.890873883362758
1500000.0,1500000.0,0.0,0.07600000000000005,0.3,0.036000000000000025,0.8621114952866608,3.0273254466915106e-13,4.047246227222913e-12,1.3015345591102756e-14,19.08153177681371
1500000.0,1500000.0,0.0,0.17100000000000012,0.3,0.037000000000000026,0.9395236448426596,3.094085058640305e-13,4.492661557890093e-12,1.0203342532098316e-13,16.93259387965355
1500000.0,1500000.0,0.0,0.06200000000000005,0.3,0.04200000000000003,1.1534163785350044,3.6583091554893497e-13,7.197069611732177e-12,2.886914232727855e-13,14.28418337831533
1500000.0,1500000.0,0.0,0.057000000000000044,0.3,0.04300000000000003,1.0953572663680053,2.0158975183045844e-13,3.791878773682059e-12,1.1754041780626645e-13,11.286668898760299
1500000.0,1500000.0,0.0,0.1520000000000001,0.3,0.05100000000000004,1.190007728996063,1.0185384537952218e-13,1.7783791615180367e-12,1.3366736643697272e-14,8.280264917749477
1500000.0,1500000.0,0.0,0.05300000000000004,0.15,0.01800000000000001,0.9390001612028872,6.573975380971381e-12,8.642149519466314e-11,0.0,433.1335010254576
1500000.0,1500000.0,0.0,0.1380000000000001,0.3,0.024000000000000014,1.2869999462657045,1.4657916507949592e-12,2.7974143955518918e-11,0.0,140.20283822157583
1500000.0,1500000.0,0.0,0.2740000000000002,0.3,0.024000000000000014,1.2533770168600966,9.998781787419265e-13,1.7545140604530875e-11,0.0,87.93400483186343
1500000.0,1500000.0,0.0,0.12800000000000009,0.3,0.04900000000000004,1.3386491932559614,1.0130662710217951e-13,2.5712724889438838e-12,0.0,12.886889456356943
1500000.0,1500000.0,0.0,0.058000000000000045,0.3,0.017000000000000008,0.3373963639499145,9.75338938856732e-12,4.6070613622464113e-11,0.0,230.9000339295368
1500000.0,1500000.0,0.0,0.037000000000000026,0.15,0.03100000000000002,0.8753381254894349,9.471371113586078e-13,1.21120529236583e-11,0.0,60.70406298355408
1500000.0,1267969.1510997114,232030.84890028863,0.1500000000000001,0.15,0.03400000000000002,1.5663976318772892,1.1783825418487343e-13,2.7098360099935553e-12,1.6502696847075378e-14,12.642076065777076
1500000.0,1500000.0,0.0,0.17600000000000013,0.3,0.022000000000000013,0.7552655344115649,2.531590844546182e-12,2.676832636964636e-11,0.0,134.15943442035
1500000.0,1500000.0,0.0,0.04100000000000003,0.15,0.026000000000000016,1.0964896437256233,8.897621273254786e-13,1.4133149213123591e-11,0.0,70.83353956566862
1500000.0,1500000.0,0.0,0.1310000000000001,0.15,0.017000000000000008,2.8000000000000003,1.6598500846380456e-12,1.2548466639863626e-10,0.0,628.9131281497354
1500000.0,1500000.0,0.0,0.11900000000000009,0.15,0.03200000000000002,1.6,2.2879176657842263e-13,5.4910023978821435e-12,1.2544378301781764e-14,25.90284815866269
1500000.0,801419.209873131,698580.790126869,0.1500000000000001,0.15,0.01800000000000001,1.6,1.7779131980643338e-13,4.266991675354401e-12,4.714659887183166e-15,20.8919558000283
1500000.0,1500000.0,0.0,0.1470000000000001,0.15,0.01900000000000001,1.5757933486632174,3.832370430947299e-12,8.454633368580479e-11,6.826311795085023e-14,315.71955292532937
1500000.0,1500000.0,0.0,0.1590000000000001,0.3,0.04400000000000003,1.2048413302673566,2.3120217353735627e-13,5.435049512844382e-12,1.9454910720681842e-14,27.15942231558559
1500000.0,1500000.0,0.0,0.1430000000000001,0.15,0.03100000000000002,1.3333333333333333,2.2732500867617978e-13,5.758900219796555e-12,1.2398772367046227e-13,18.785114576403313
1500000.0,1500000.0,0.0,0.03800000000000003,0.3,0.03300000000000002,1.3410689320436777,2.9395273845591064e-13,5.871695676600449e-12,5.077456993862178e-14,24.969216616328943
