time,pc,actual_rate,required_rate,arrival_rate,idle_ues,queued_ues,active_ues,interference,sum_tx_power,avg_antennas,sm0_cnt,sm1_cnt,sm2_cnt,sm3_cnt,reward,pc_kw,qos_reward,drop_ratio
"Mon, 00:00",0.0,0.0,0.0,0.0,0,0,0,0.0,44.8,64.0,7,0,0,0,0.0,0.0,0.0,0.0
"Mon, 00:01",181.17015076373673,0.0,0.0,0.0,0,0,0,0.0,0.0,60.0,0,0,0,7,-0.18117015075683593,0.18117015075683593,0.0,0.0
"Mon, 00:02",181.17015076373673,0.0,0.0,0.0,0,0,0,0.0,0.0,56.0,0,0,0,7,-0.18117015075683593,0.18117015075683593,0.0,0.0
"Mon, 00:03",181.17015076373673,0.0,10.135135135135137,0.0,1,0,0,0.0,0.0,52.0,0,0,0,7,-0.18117015075683593,0.18117015075683593,0.0,0.0
"Mon, 00:04",181.17015076373673,0.0,22.047271652563467,0.0,3,0,0,0.0,0.0,49.714285714285715,0,0,0,7,-0.18117015075683593,0.18117015075683593,0.0,0.0
"Mon, 00:05",181.17015076373673,0.0,24.98131897172331,0.0,3,0,0,0.0,0.0,48.0,0,0,0,7,-0.18117015075683593,0.18117015075683593,0.0,0.0
"Mon, 00:06",181.17015076373673,0.0,29.023840850405307,0.0,3,0,0,0.0,0.0,46.285714285714285,0,4,3,0,-0.18117015075683593,0.18117015075683593,0.0,0.0
"Mon, 00:07",396.809289824423,207.80308419548894,18.345411118645952,0.0,0,0,4,4.185384766026051e-14,10.0,44.57142857142857,2,2,3,0,-0.3918093006542919,0.3968092956542969,0.0049999950000050005,0.0
"Mon, 00:08",401.8688088245908,105.00190355191894,18.100967298469598,0.0,1,0,2,1.7109736271601447e-13,10.0,41.714285714285715,2,0,5,0,-0.39426880741132897,0.4018688049316406,0.007599997520311673,0.0
"Mon, 00:09",312.36232890299476,0.0,20.832337547358193,0.0,3,0,0,0.0,0.0,37.714285714285715,0,0,7,0,-0.3123623352050781,0.3123623352050781,0.0,0.0
"Mon, 00:10",312.36232890299476,0.0,24.6736007622929,0.0,3,0,0,0.0,0.0,34.857142857142854,0,0,7,0,-0.3123623352050781,0.3123623352050781,0.0,0.0
"Mon, 00:11",312.36232890299476,0.0,30.55867576574044,0.0,3,0,0,0.0,0.0,33.142857142857146,0,0,7,0,-0.3123623352050781,0.3123623352050781,0.0,0.0
"Mon, 00:12",312.36232890299476,0.0,40.98238858289622,0.0,3,0,0,0.0,0.0,32.57142857142857,0,3,4,0,-0.3123623352050781,0.3123623352050781,0.0,0.0
"Mon, 00:13",415.8293515614955,63.55667500460735,10.68051182510373,0.0,0,0,2,0.0,2.8000000000000003,32.57142857142857,1,5,1,0,-0.4130293487892242,0.415829345703125,0.0027999969139007918,0.0
"Mon, 00:14",326.9417504328886,50.11760790681872,11.40271627418847,14.999999999999993,1,0,1,0.0,2.8000000000000003,29.714285714285715,1,0,4,2,-0.3259417427049401,0.3269417419433594,0.0009999992384193408,0.0
"Mon, 00:15",293.7824006601206,0.0,24.269005847953224,29.999999999999986,2,0,0,0.0,0.0,27.428571428571427,0,1,4,2,-0.2884490816878316,0.29378240966796876,0.005333327980137139,0.0
"Mon, 00:16",237.3953699662762,0.0,34.085670832092084,44.99999999999998,3,0,0,0.0,0.0,25.142857142857142,0,0,3,4,-0.23739537048339845,0.23739537048339845,0.0,0.0
"Mon, 00:17",291.10300045108323,162.0129008607993,37.77969040087071,44.99999999999998,0,0,4,6.799827651634493e-15,4.4,25.142857142857142,2,1,0,4,-0.29110299682617186,0.29110299682617186,0.0,0.0
"Mon, 00:18",337.804214384352,182.93534004793906,40.517071751600305,44.99999999999998,1,0,6,8.70706579816519e-15,4.4,25.142857142857142,2,0,1,4,-0.33780419921875,0.33780419921875,0.0,0.0
"Mon, 00:19",337.50710786194173,92.66620592559514,24.146294335068262,44.99999999999998,1,0,3,1.7218772197244044e-12,8.0,25.142857142857142,3,0,1,3,-0.33284044576274646,0.33750711059570315,0.004666664832956713,0.0
"Mon, 00:20",337.25281959301236,104.74320801048836,22.93962240189288,44.99999999999998,1,0,3,1.232396349374895e-14,4.4,24.571428571428573,2,0,3,2,-0.3289861492032715,0.3372528076171875,0.008266658413916004,0.0
"Mon, 00:21",345.5741228106001,48.82043744462216,19.71682874002833,44.99999999999998,1,0,1,0.0,2.8000000000000003,23.428571428571427,1,1,5,0,-0.3390241304603431,0.34557412719726566,0.00654999673692256,0.0
"Mon, 00:22",357.95602838797515,0.0,30.15463917525776,44.99999999999998,2,0,0,0.0,0.0,23.428571428571427,0,1,5,1,-0.34915603294309105,0.3579560241699219,0.008799991226830865,0.0
"Mon, 00:23",347.54307234244766,157.654896457391,35.91200919710841,44.99999999999998,1,0,3,1.635092572733069e-13,6.4,22.285714285714285,2,0,3,2,-0.3475430603027344,0.3475430603027344,0.0,0.0
