id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,cell_traffic,cell_dropped_traffic,num_requests,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4011. 4326. 1040.  383.],10081.0,201.60000000059856,[42.226 59.468 39.86  60.046],12858.743092606699,7180.0,18600000000.0,93706063.39220104,5681.0,2485.0,63.77712078466937,1.3343517508183529,50.979069536752306,20.488641409460193,1.1085949400887625,0.28717389147901995,0.27755183017557783,3.197500247991271,[0.209 0.295 0.198 0.298],0.0,0.0,0.005037960397430164,92261904.76163083,[19.896 21.458  5.159  1.9  ],35.615079364973624
1,[2523. 2860. 1228.  653.],10081.0,201.60000000059856,[29.178 26.756 54.806 90.86 ],11121.134299595342,12108.0,7936500000.0,43746760.93046466,5309.0,1709.0,55.15888453325579,0.5981946235492545,33.40938398968356,12.882540917473026,0.8577201748291947,0.19918658863208016,0.4076976490427537,1.3428231326257316,[0.145 0.133 0.272 0.451],0.0,0.0,0.005512097389335936,39367559.52369264,[12.515 14.187  6.091  3.239],60.05952380934549
2,[2222. 2591. 1116.  715.],10081.0,201.60000000059856,[25.509 25.808 50.883 99.4  ],10775.922465067684,11976.0,7783500000.0,36179413.216327935,4237.0,1418.0,53.4466941031022,0.5144330919551628,31.948021029659756,11.077451520821043,0.7373458662950998,0.1656581688324571,0.35274278345402243,1.2803293324074994,[0.127 0.128 0.252 0.493],0.0,0.0,0.004648219080918344,38608630.95226632,[11.022 12.852  5.536  3.547],59.40476190458553
3,[2667. 2932. 1320.  602.],10081.0,201.60000000059856,[30.111 32.598 56.363 82.528],11357.082423793541,11976.0,7500000000.0,35451419.35465269,4477.0,1808.0,56.32914603607233,0.5808947525047168,30.587838508084516,13.341336269055237,0.8235905406578256,0.20771748834441028,0.3240749925602619,1.238369209403829,[0.149 0.162 0.28  0.409],0.0,0.0,0.004726855913953692,37202380.9522705,[13.229 14.544  6.548  2.986],59.40476190458553
4,[2633. 2946. 1170.  636.],10081.0,201.60000000059856,[30.363 30.634 51.003 89.6  ],11560.077783678227,11008.0,7707000000.0,33096656.25553756,4681.0,1878.0,57.33596758098151,0.5917270112092113,31.440531693284395,14.00541574319275,0.8941542324693045,0.22001785537149093,0.3498660847138181,1.25681975994445,[0.151 0.152 0.253 0.444],0.0,0.0,0.0042943630797375835,38229166.66655316,[13.061 14.613  5.804  3.155],54.603174603012484
5,[2215. 2565. 1159.  671.],10081.0,201.60000000059856,[25.343 28.795 52.849 94.613],11035.366348601834,10856.0,7363500000.0,26623209.619392417,3776.0,1351.0,54.73349047019888,0.47749231227060973,29.851006844559073,10.517491925839963,0.6574263489829272,0.15960718182719968,0.3103858744172205,1.2123797242337069,[0.126 0.143 0.262 0.469],0.0,0.0,0.0036155645575327517,36525297.618939176,[10.987 12.723  5.749  3.328],53.84920634904647
6,[2671. 2961. 1226.  613.],10081.0,201.60000000059856,[30.883 28.693 56.671 85.353],11493.533414098147,10552.0,7275000000.0,31789257.347753104,4654.0,1968.0,57.00591912556964,0.5517706576728519,29.045927983334987,13.661735363051266,0.919242292046672,0.21882749727209602,0.35075885328836426,1.2378732268624144,[0.153 0.142 0.281 0.423],0.0,0.0,0.004369657367388743,36086309.52370238,[13.249 14.687  6.081  3.041],52.34126984111444
