id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4141. 4274.  902.  434.],10081.0,201.60000000059856,[66.172 24.61  51.745 59.073],12698.064450294012,6064.0,136564.0,130789.0,10980000000.0,43340375.5226468,12857.0,62.98018277102204,1.4000198393016672,26.510068445590715,36.75388791934236,5.415501999640283,1.2950104156333697,0.05733558178752108,2.7317726416030155,[0.328 0.122 0.257 0.293],0.9577121349696845,0.003947210885486958,54464285.71412401,[20.541 21.2    4.474  2.153],30.079365079275775
1,[2521. 2834. 1006.  548.],10081.0,201.60000000059856,[36.865 21.124 57.091 86.52 ],10716.983906112351,6696.0,157581.0,154548.0,5622000000.0,75575984.56378126,4010.0,53.15436914052254,0.44019442515622975,18.27358396984426,15.03863566538822,2.6989637567157474,0.4081936315841682,0.06606487451641702,1.7764110703303244,[0.183 0.105 0.283 0.429],0.9807527557256268,0.013442900135855793,27886904.761821967,[12.505 14.058  4.99   2.718],33.2142857141871
2,[1998. 2352.  992.  551.],10081.0,201.60000000059856,[28.185 21.479 59.885 92.051],10431.891604781842,4464.0,136902.0,134688.0,4641000000.0,53184371.03693964,2624.0,51.74036109900705,0.3069139966273133,17.178057732367822,10.234260132333535,1.5133141932024838,0.26584664219819465,0.05624442019640909,1.5022319214363655,[0.14  0.107 0.297 0.457],0.9838278476574484,0.011459679171932696,23020833.333264984,[ 9.911 11.667  4.921  2.733],22.1428571427914
3,[2466. 2784.  987.  525.],10081.0,201.60000000059856,[35.498 20.361 60.899 84.842],10870.985561019703,5616.0,138321.0,135453.0,5380500000.0,66578694.29074249,3915.0,53.91819046235162,0.40107132228944853,17.771649637932743,14.45876770319871,2.561259807654692,0.39291736930860033,0.06775121515722647,1.6561849022914394,[0.176 0.101 0.302 0.421],0.979265621272258,0.012374071980437225,26688988.095158856,[12.232 13.81   4.896  2.604],27.857142857060147
4,[2421. 2754. 1028.  520.],10081.0,201.60000000059856,[34.957 21.232 61.371 84.04 ],10975.591643014583,6560.0,142176.0,139394.0,5286000000.0,78378159.03659277,3474.0,54.43701836630266,0.39492113877590973,18.02083126673941,13.535800821177554,2.473312642913971,0.35383394504513443,0.0599146910028767,1.6302946136296002,[0.173 0.105 0.304 0.417],0.9804327031285167,0.014827498871848801,26220238.095160246,[12.009 13.661  5.099  2.579],32.539682539585925
5,[2035. 2289. 1034.  532.],10081.0,201.60000000059856,[30.341 18.817 64.719 87.723],9858.686467213709,7456.0,130468.0,128304.0,4918500000.0,70252011.65993498,2643.0,48.897363690177876,0.3731375855569839,18.58585457791886,10.333352820443666,1.750015513004556,0.27110405713718877,0.0446384287273088,1.510167642098998,[0.151 0.093 0.321 0.435],0.9834135573473956,0.014283218798400932,24397321.42849899,[10.094 11.354  5.129  2.639],36.98412698401718
6,[2515. 2832.  978.  522.],10081.0,201.60000000059856,[37.11  21.077 58.607 84.806],10755.136233590903,6072.0,147311.0,144434.0,5335500000.0,78140955.30294119,3810.0,53.343598023958606,0.4242436266243394,17.95972621763714,14.213198693490085,2.837777583267684,0.3868663823033429,0.0645769268921734,1.6702708064676124,[0.184 0.105 0.291 0.421],0.9804698902322297,0.014645479393297946,26465773.809445232,[12.475 14.048  4.851  2.589],30.119047618958195
