id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[982. 666. 522. 383.],10081.0,201.60000000059856,[104.188   6.52   17.044  73.848],15871.067240721173,8448.0,81901.0,73166.0,11470500000.0,109469452.88515565,45.0,78.71772265013324,3.3899811526637404,52.69953377641107,47.823231597874376,6.711454121186158,1.3681182422378733,0.26505307013193136,2.241841087193731,[0.517 0.032 0.085 0.366],0.8933468455818611,0.009543564176379029,56897321.4284025,[4.871 3.304 2.589 1.9  ],41.90476190463749
1,[298. 247. 191. 319.],10081.0,201.60000000059856,[ 11.199   3.199   4.831 182.371],6272.814660631074,5584.0,47522.0,46797.0,3009000000.0,69261018.49866998,15.0,31.11206557202564,0.18192639619085402,18.38230334292233,2.692702515050865,0.7679126866805414,0.06298978275964687,0.03204047217537943,0.7311774625533182,[0.056 0.016 0.024 0.905],0.9847439080846766,0.02301795230929544,14925595.238050923,[1.478 1.225 0.947 1.582],27.69841269833046
2,[231. 202. 196. 279.],10081.0,201.60000000059856,[  5.497   3.015   4.638 188.45 ],6262.882654957989,3776.0,33678.0,33264.0,2647500000.0,35930332.194910824,14.0,31.062804557870248,0.08526931851998816,17.35938894950898,1.3813971493894626,0.22851871274464647,0.02668386072810237,0.018946533082035512,0.5758357305822835,[0.027 0.015 0.023 0.935],0.9877071084981294,0.013571419148219386,13132440.476151485,[1.146 1.002 0.972 1.384],18.73015873010312
3,[293. 234. 224. 312.],10081.0,201.60000000059856,[ 11.932   2.467   6.047 181.154],6441.362496423681,6000.0,46312.0,45523.0,3118500000.0,51280419.29550342,15.0,31.948033411489426,0.21208213470885806,18.996528122210098,3.072749592396936,0.688307648523245,0.06923916278147009,0.034321991865886324,0.7299871044539232,[0.059 0.012 0.03  0.899],0.9829633788219037,0.01644393756469566,15468749.999954073,[1.453 1.161 1.111 1.548],29.7619047618164
4,[252. 211. 202. 283.],10081.0,201.60000000059856,[  9.651   2.43    5.393 184.126],6071.967615359914,5160.0,45102.0,44458.0,2926500000.0,50059505.74686935,28.0,30.115899292532347,0.14772344013490704,17.759746056938795,2.6138662455518373,0.8056938808773978,0.059517904969745065,0.024402341037595476,0.6911020732070231,[0.048 0.012 0.027 0.913],0.9857212540463838,0.01710558884225845,14516369.047575949,[1.25  1.047 1.002 1.404],25.595238095162102
5,[206. 177. 168. 253.],10081.0,201.60000000059856,[  6.298   2.353   4.093 188.856],6118.869126766579,3976.0,33257.0,32814.0,2580000000.0,29955495.803096686,11.0,30.348522600769492,0.11665509374070013,17.893859736137287,1.7424786666276972,0.2833573368802118,0.03819065568891975,0.01775617498264061,0.5733558178752108,[0.031 0.012 0.02  0.937],0.9866794960459452,0.01161065728802197,12797619.04758105,[1.022 0.878 0.833 1.255],19.722222222163666
6,[265. 218. 210. 321.],10081.0,201.60000000059856,[  9.232   2.801   5.416 184.151],6053.86181935273,5248.0,49784.0,49117.0,2917500000.0,80581629.43958585,15.0,30.026097705351923,0.14752504711834125,17.861323281420493,2.395005920901285,0.7676260879754113,0.052574149389941476,0.03114770360083325,0.7406011308401944,[0.046 0.014 0.027 0.913],0.986602121163426,0.02762009578049215,14471726.190433223,[1.314 1.081 1.042 1.592],26.031746031668742
