demand,done,dropped,delay,delay_budget,service_time,avg_tx_power,avg_chan_gain,avg_signal,avg_interference,avg_sinr
1500000.0,1500000.0,0.0,0.03100000000000002,0.15,0.012000000000000004,6.0,5.49835887151172e-12,1.946419040515149e-09,0.0,9755.203743952356
1500000.0,1500000.0,0.0,0.04100000000000003,0.15,0.013000000000000005,6.0,2.7071262108639763e-12,9.583226786458476e-10,6.234952543338599e-14,3659.45549858976
1500000.0,1500000.0,0.0,0.022000000000000013,0.15,0.01900000000000001,6.0,1.6561930130848902e-13,5.862923266320511e-11,2.1372670511307542e-14,266.3769079707045
1500000.0,1500000.0,0.0,0.01800000000000001,0.3,0.015000000000000006,6.0,6.552688822822124e-13,2.3196518432790317e-10,1.8097956621580628e-13,787.8538195058176
1500000.0,1500000.0,0.0,0.06600000000000004,0.3,0.03900000000000003,4.185087511023798,1.4027450875413867e-14,3.447036701897518e-12,0.0,17.276107888356908
1500000.0,1500000.0,0.0,0.037000000000000026,0.15,0.03300000000000002,4.814912488976201,1.9321996837277004e-14,5.453921975770127e-12,0.0,27.334360674552126
1500000.0,1500000.0,0.0,0.037000000000000026,0.3,0.03200000000000002,4.330794369809838,2.0958871124239176e-14,5.333590319751565e-12,0.0,26.731273776574813
1500000.0,1500000.0,0.0,0.023000000000000013,0.15,0.02100000000000001,3.0160136327485914,1.7034170755602634e-13,2.9700011035199163e-11,0.0,148.85266369430906
1500000.0,1500000.0,0.0,0.03400000000000002,0.3,0.03000000000000002,2.8690248116846404,4.659449276181191e-14,7.758912758947123e-12,0.0,38.88668021612049
1500000.0,1500000.0,0.0,0.04500000000000003,0.3,0.04100000000000003,2.376836457922818,1.7388976084800415e-14,2.384603961237163e-12,0.0,11.951330626290872
1500000.0,1500000.0,0.0,0.04500000000000003,0.15,0.04100000000000003,3.6629235297099756,1.1673236626160371e-14,2.481446423940339e-12,0.0,12.43669268608944
1500000.0,1500000.0,0.0,0.048000000000000036,0.3,0.015000000000000006,4.133333333333334,5.142910735348852e-13,1.8996990815663434e-10,5.288934976802839e-15,914.7581997500206
1500000.0,1500000.0,0.0,0.03900000000000003,0.3,0.02100000000000001,3.9072419525054696,6.342047407150023e-13,1.54988435016295e-10,5.143212300353756e-13,215.86991544385987
1500000.0,1500000.0,0.0,0.022000000000000013,0.15,0.02000000000000001,4.626091380827864,6.008816649520033e-13,1.7362535733541236e-10,4.4609046101890684e-13,481.6100327338025
1500000.0,1500000.0,0.0,0.05600000000000004,0.3,0.01900000000000001,6.2,1.3545304999450421e-13,5.1282524727919294e-11,4.2366071396641154e-15,252.126519199104
1500000.0,1500000.0,0.0,0.06600000000000004,0.3,0.02000000000000001,6.4,1.0045318180451115e-13,4.05027229035789e-11,0.0,202.99447646416638
1500000.0,1500000.0,0.0,0.04400000000000003,0.3,0.04000000000000003,2.2126370614028072,1.9683880055344493e-14,2.343983169171409e-12,0.0,11.74774440225903
1500000.0,1500000.0,0.0,0.20700000000000016,0.3,0.047000000000000035,3.1112327646723577,9.622136982845596e-15,1.6218579863160967e-12,0.0,8.128545174980616
1500000.0,1500000.0,0.0,0.028000000000000018,0.3,0.024000000000000014,3.954164480336454,6.455641861875861e-14,1.3900165693767376e-11,0.0,69.66585591019972
1500000.0,1500000.0,0.0,0.03100000000000002,0.15,0.010000000000000002,6.4,2.1048803238794023e-11,8.48687746588175e-09,0.0,42535.14639258903
1500000.0,1500000.0,0.0,0.026000000000000016,0.15,0.013000000000000005,6.0,7.015896978185425e-12,2.4836275302776407e-09,1.569368956590494e-13,8642.615542772211
1500000.0,1500000.0,0.0,0.022000000000000013,0.15,0.016000000000000007,3.4957694042245144,1.1095260651550391e-12,2.404761308490333e-10,6.568767710381438e-14,907.1569371893452
1500000.0,1500000.0,0.0,0.05300000000000004,0.3,0.023000000000000013,4.069487063850324,1.472125586629645e-13,3.745698885162593e-11,1.9790918930828752e-13,143.10695269904247
1500000.0,1500000.0,0.0,0.07100000000000005,0.3,0.03000000000000002,6.400000000000001,1.6661741890131717e-14,6.718014330101109e-12,0.0,33.66983017571742
1500000.0,1500000.0,0.0,0.08100000000000006,0.3,0.015000000000000006,5.6000000000000005,1.7235676459851528e-12,5.308588349634271e-10,1.8312432410335056e-13,1387.7561593867056
1500000.0,1500000.0,0.0,0.03900000000000003,0.3,0.01900000000000001,5.4,1.785367414930897e-13,5.1168630111919515e-11,0.0,256.4506417429004
1500000.0,1500000.0,0.0,0.03000000000000002,0.15,0.027000000000000017,3.2925812817487987,5.274403102149566e-14,1.0072512537390567e-11,0.0,50.48214694290787
1500000.0,1500000.0,0.0,0.10300000000000008,0.3,0.03400000000000002,4.353709359125601,2.4317632060304265e-14,6.21352322915864e-12,1.9434849937057725e-14,28.117190836068467
1500000.0,1500000.0,0.0,0.058000000000000045,0.15,0.05200000000000004,1.5597729353651641,1.514926080681641e-14,1.246785066862125e-12,0.0,6.248727585884212
1500000.0,1500000.0,0.0,0.07300000000000005,0.15,0.06400000000000004,2.196974939516435,8.032415421891006e-15,9.658814885292374e-13,0.0,4.840874712477596
1500000.0,1500000.0,0.0,0.046000000000000034,0.15,0.04200000000000003,1.3078527773409516,3.259850482493803e-14,2.1999463253699093e-12,0.0,11.025850129406258
1500000.0,1500000.0,0.0,0.016000000000000007,0.3,0.014000000000000005,1.0978130824973154,6.876052016168295e-12,3.854258093112937e-10,1.541398099254819e-14,1829.982308284643
