id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4110. 3974. 1147.    0.],10081.0,201.60000000059856,[ 59.304  21.26  121.036   0.   ],14231.797179957917,6864.0,88678.0,83744.0,13849.0,12399000000.0,13804179.02354253,70.58722934211544,1.673881559369109,32.82967959527824,37.31829533241276,5.772679070568139,1.399761928380121,0.0012895546076778098,2.6448765003471877,[0.294 0.105 0.6   0.   ],0.9443604952750401,0.001113330028513794,61502976.19029359,[20.387 19.712  5.689  0.   ],34.04761904751796
1,[2405. 2131. 1218.    0.],10081.0,201.60000000059856,[ 29.88   11.476 160.244   0.   ],13605.365360650778,3940.0,65630.0,64058.0,2781.0,4522500000.0,8906886.609708574,67.48023688448,0.3816684852693102,18.031544489633966,12.669957937456507,1.4470562436356293,0.28935621466124395,0.0026783057236385278,1.0827298879079457,[0.148 0.057 0.795 0.   ],0.9760475392351059,0.0019694608313341236,22433035.71421911,[11.93  10.57   6.042  0.   ],19.543650793592768
2,[1943. 1720. 1095.    0.],10081.0,201.60000000059856,[ 23.466  10.367 167.767   0.   ],13354.16851832656,3276.0,58615.0,57383.0,2011.0,3993000000.0,2434561.2957942234,66.23434440196726,0.295367523063182,17.6030155738518,10.003165451817354,0.9907841783404542,0.21089177660946334,0.0027775022319214363,0.9372086102569189,[0.116 0.051 0.832 0.   ],0.9789814893798515,0.0006097073117441081,19806547.618988812,[9.638 8.532 5.432 0.   ],16.249999999951754
3,[2486. 2104. 1263.    0.],10081.0,201.60000000059856,[ 30.688  11.185 159.727   0.   ],13695.590418681502,3812.0,64196.0,62617.0,3017.0,4474500000.0,7101035.183658348,67.92773742029438,0.386707667890082,17.766491419502035,12.898196588354516,1.4702223459947603,0.3086995337764111,0.0019839301656581687,1.087888106338657,[0.152 0.055 0.792 0.   ],0.9754034519284691,0.0015870008232558607,22194940.476124577,[12.331 10.437  6.265  0.   ],18.908730158674018
4,[2702. 2275. 1366.    0.],10081.0,201.60000000059856,[ 33.639  12.58  155.381   0.   ],13762.142411216973,4004.0,65820.0,64077.0,3282.0,4680000000.0,8408693.872084305,68.25782368423447,0.4242436266243355,17.77998214462851,14.277535049130826,1.720911145995756,0.3446086697748239,0.00317428826505307,1.1382799325463744,[0.167 0.062 0.771 0.   ],0.9735186873290793,0.0017967294598470736,23214285.71421679,[13.403 11.285  6.776  0.   ],19.861111111052143
5,[2038. 1802. 1113.    0.],10081.0,201.60000000059856,[ 24.943  10.993 165.664   0.   ],12961.819883072616,4432.0,57884.0,56626.0,2156.0,4108500000.0,5819497.022094653,64.28836366963037,0.3365935919055591,18.281916476540026,10.102400299436606,1.0612036202089854,0.22725920047614323,0.002876698740204345,0.9841285586747347,[0.124 0.055 0.822 0.   ],0.9782668785847557,0.0014164529687464168,20379464.285653777,[10.109  8.938  5.521  0.   ],21.984126984061714
6,[2613. 2229. 1256.    0.],10081.0,201.60000000059856,[ 32.467  11.298 157.835   0.   ],13567.200226550714,3580.0,62395.0,60755.0,3269.0,4519500000.0,7511700.433489458,67.29094448243647,0.40991965082828136,18.022021624838807,13.431499696104078,1.598163916083878,0.3368713421287571,0.0034718777899017954,1.0759845253447078,[0.161 0.056 0.783 0.   ],0.9737158426155942,0.0016620644835688588,22418154.7618382,[12.961 11.057  6.23   0.   ],17.757936507883784
