id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4437. 4807.  999.  393.],10081.0,201.60000000059856,[44.456 67.893 34.364 54.887],13308.90292306167,6056.0,6459.0,2594.0,22629000000.0,72574472.2875008,66.009834952187,1.4512845947822284,56.65549052673346,21.703188103022544,1.1598736204594744,0.3019541712131733,0.3251661541513739,3.7179843269516915,[0.221 0.337 0.17  0.272],0.0,0.0,0.0032071444733528126,112247023.80919054,[22.009 23.844  4.955  1.949],30.03968253959335
1,[2969. 3355. 1247.  682.],10081.0,201.60000000059856,[33.823 30.081 46.567 91.129],11380.74677535549,11440.0,6118.0,2116.0,10507500000.0,34110966.170806006,56.446517088359265,0.7953972820156731,39.926594583870646,16.538208546302496,0.9573750433026608,0.24243626624342823,0.46195813907350464,1.6774129550639818,[0.168 0.149 0.231 0.452],0.0,0.0,0.003246344627247776,52120535.71413097,[14.727 16.642  6.186  3.383],56.74603174586326
2,[2462. 2933. 1161.  724.],10081.0,201.60000000059856,[28.081 30.244 45.834 97.441],10785.53664016628,11848.0,4589.0,1388.0,9999000000.0,36867705.644638665,53.494378733091736,0.6102172403531424,36.169427636147205,12.14743233671149,0.7090489895424261,0.16962602916377342,0.37456601527626227,1.5725622458089474,[0.139 0.15  0.227 0.483],0.0,0.0,0.003687139278391706,49598214.28556703,[12.212 14.549  5.759  3.591],58.76984126966678
3,[3053. 3460. 1337.  572.],10081.0,201.60000000059856,[33.479 40.591 53.396 74.134],11845.471886891537,11692.0,5197.0,2012.0,9838500000.0,30219219.558823094,58.751472507144655,0.739212379724235,36.530502926297,15.877841220621848,0.8839033228583209,0.23053268524947923,0.3478821545481599,1.5411169526832655,[0.166 0.201 0.265 0.368],0.0,0.0,0.0030715271188517653,48802083.33318844,[15.144 17.163  6.632  2.837],57.996031745859554
4,[3126. 3480. 1224.  636.],10081.0,201.60000000059856,[35.378 38.318 45.282 82.622],11916.541400993816,11368.0,6046.0,2123.0,10687500000.0,36946396.47832051,59.10396488936032,0.8206725523261614,39.775022319214365,17.18821897301931,0.9897909085415624,0.24947921833151473,0.4422180339252058,1.6633270508878089,[0.175 0.19  0.225 0.41 ],0.0,0.0,0.003456972769901334,53013392.85698546,[15.506 17.262  6.071  3.155],56.38888888872147
5,[2634. 3103. 1311.  623.],10081.0,201.60000000059856,[28.884 37.683 54.408 80.625],11537.519964192008,11168.0,4153.0,1500.0,9397500000.0,29650400.027318567,57.22408473460496,0.5956155143338969,34.48943557186787,12.230978076492173,0.7047628010935031,0.17895050094236684,0.3150481103065172,1.5020335284197996,[0.143 0.187 0.27  0.4  ],0.0,0.0,0.003155137007429483,46614583.333194934,[13.065 15.392  6.503  3.09 ],55.39682539666092
6,[3040. 3413. 1281.  610.],10081.0,201.60000000059856,[34.043 33.466 53.394 80.697],11541.704513554234,11300.0,5196.0,2091.0,9417000000.0,31279948.062596887,57.24483936887882,0.7004067056839628,34.49181628806666,15.63290404126922,0.9778082763808459,0.23321099097311776,0.36385279238170815,1.4863604801111001,[0.169 0.166 0.265 0.4  ],0.0,0.0,0.0033216468156097366,46711309.52367084,[15.079 16.93   6.354  3.026],56.05158730142088
