drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward
0.0,0.0,0.0,0.0,0.3123623352050781,-0.3123623352050781
0.0,0.0,0.0,0.0,0.3123623352050781,-0.3123623352050781
0.0,0.0,0.0,0.0,0.3123623352050781,-0.3123623352050781
0.0,0.0,0.0,0.0,0.3123623352050781,-0.3123623352050781
0.0,0.0,0.17333333,0.004133329206958002,0.4352060241699219,-0.4186727073420899
0.0,0.0,0.09,0.004549995432123175,0.22463528442382813,-0.20643530269533544
0.0,0.0,0.0,0.0,0.2660572204589844,-0.2660572204589844
0.0,0.0,0.086666666,0.004566662103481501,0.2642451171875,-0.245978468773574
0.0,0.0,0.09166667,0.004541664385900366,0.26541799926757814,-0.24725134172397667
0.0,0.0,0.32666665,0.00336666336755523,0.26392813110351565,-0.25046147763329474
0.0,0.0,0.19666667,0.004016662619208315,0.24274163818359376,-0.2266749877067605
0.0,0.0,0.0,0.0,0.25900820922851564,-0.25900820922851564
0.0,0.0,0.40333334,0.0029833303360952473,0.3511803588867188,-0.3392470375423378
0.0,0.0,0.0,0.0,0.3293191528320313,-0.3293191528320313
0.0,0.0,0.0,0.0,0.3293191528320313,-0.3293191528320313
0.0,0.0,0.0,0.0,0.3951271667480469,-0.3951271667480469
0.0,0.0,0.20222223,0.003988887530119663,0.39018826293945313,-0.37423271281897447
0.0,0.0,0.0,0.0,0.34627593994140626,-0.34627593994140626
0.0,0.0,0.0,0.0,0.37056985473632814,-0.37056985473632814
0.0,0.0,0.22,0.003899996105964359,0.38998056030273437,-0.3743805758788769
0.0,0.0,0.0,0.0,0.4221912841796875,-0.4221912841796875
0.0,0.0,0.255,0.0037249981613427774,0.43086578369140627,-0.41596579104603515
0.0,0.0,0.37333333,0.003133331758720168,0.40643814086914065,-0.39390481383425996
0.0,0.0,0.0,0.0,0.27487884521484374,-0.27487884521484374
0.0,0.0,0.0,0.0,0.27487884521484374,-0.27487884521484374
0.0,0.0,0.0,0.0,0.3386295471191406,-0.3386295471191406
0.0,0.0,0.21333334,0.00393332937417528,0.3081983642578125,-0.2924650467611114
0.0,0.0,0.0,0.0,0.27309393310546876,-0.27309393310546876
0.0,0.0,0.0,0.0,0.360423583984375,-0.360423583984375
0.0,0.0,0.30333334,0.0034833315479574863,0.35298403930664063,-0.33905071311481066
0.0,0.0,0.0,0.0,0.27487884521484374,-0.27487884521484374
0.0,0.0,0.0,0.0,0.3098218994140625,-0.3098218994140625
0.0,0.0,0.12666667,0.0043666623079516445,0.3207718811035156,-0.30330523187170905
0.0,0.0,0.0,0.0,0.2870904235839844,-0.2870904235839844
0.0,0.0,0.21,0.003949996082786472,0.2658590087890625,-0.2500590244579166
0.0,0.0,0.30333334,0.0034833315479574863,0.266322509765625,-0.25238918357379503
0.0,0.0,0.18555556,0.004072220830708176,0.264361328125,-0.2480724448021673
0.0,0.0,0.0,0.0,0.2638181457519531,-0.2638181457519531
0.0,0.0,0.19333333,0.004033329327819506,0.2643609619140625,-0.24822764460278446
0.0,0.0,0.09,0.004549995432123175,0.26352276611328124,-0.24532278438478855
0.0,0.0,0.19,0.0040499959619249674,0.24273971557617188,-0.22653973172847203
0.0,0.0,0.0,0.0,0.26379150390625,-0.26379150390625
0.0,0.0,0.06666667,0.0046666619826199966,0.2636140441894531,-0.24494739625897313
0.0,0.0,0.34666666,0.0032666634139110035,0.22438937377929688,-0.21132272012365286
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.23206747436523437,-0.23206747436523437
0.0,0.0,0.0,0.0,0.26313113403320315,-0.26313113403320315
0.0,0.0,0.3,0.0034999964403989153,0.26362597656250003,-0.24962599080090436
0.0,0.0,0.14666666,0.004266664562143297,0.2636111755371094,-0.2465445172885362
0.0,0.0,0.28333333,0.003583329759937681,0.262172607421875,-0.24783928838212427
0.0,0.0,0.16333333,0.004183329183780116,0.24194030761718752,-0.22520699088206705
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.24201866149902343,-0.24201866149902343
0.0,0.0,0.0,0.0,0.2627623291015625,-0.2627623291015625
0.0,0.0,0.14,0.004299997847020844,0.28256640625,-0.26536641486191664
0.0,0.0,0.26,0.0036999963476873686,0.2809693603515625,-0.26616937496081305
0.0,0.0,0.22666667,0.0038666627632477062,0.2812015380859375,-0.2657348870329467
0.0,0.0,0.0,0.0,0.2813591003417969,-0.2813591003417969
0.0,0.0,0.14333333,0.00428332906291861,0.33439767456054686,-0.31726435830887245
0.0,0.0,0.40666667,0.002966665679764928,0.33167672729492187,-0.31981006457586214
0.0,0.0,0.17666666,0.0041166625728525415,0.2661298828125,-0.24966323252108982
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.24035305786132813,-0.24035305786132813
0.0,0.0,0.30666667,0.003466663172187994,0.25939297485351565,-0.24552632216476367
0.0,0.0,0.0,0.0,0.25786819458007815,-0.25786819458007815
0.0,0.0,0.17333333,0.004133329206958002,0.2579284362792969,-0.24139511945146488
0.0,0.0,0.16,0.004199995817885576,0.2518524322509766,-0.23505244897943428
0.0,0.0,0.0,0.0,0.19991189575195312,-0.19991189575195312
0.0,0.0,0.0,0.0,0.2294779815673828,-0.2294779815673828
0.0,0.0,0.16,0.004199995817885576,0.25183816528320313,-0.23503818201166082
0.0,0.0,0.0,0.0,0.19991189575195312,-0.19991189575195312
0.0,0.0,0.0,0.0,0.19991189575195312,-0.19991189575195312
0.0,0.0,0.0,0.0,0.19991189575195312,-0.19991189575195312
0.0,0.0,0.0,0.0,0.2519347686767578,-0.2519347686767578
0.0,0.0,0.0,0.0,0.26971514892578125,-0.26971514892578125
0.0,0.0,0.36833334,0.003158331722378328,0.2695966491699219,-0.2569633222804086
0.0,0.0,0.31,0.0034499965380825337,0.23747666931152345,-0.2236766831591933
0.0,0.0,0.0,0.0,0.21865362548828127,-0.21865362548828127
0.0,0.0,0.0,0.0,0.24418980407714844,-0.24418980407714844
0.0,0.0,0.0,0.0,0.30379788208007813,-0.30379788208007813
0.0,0.0,0.43666667,0.002816663846029178,0.29185745239257815,-0.28059079700846146
0.0,0.0,0.0,0.0,0.3524178161621094,-0.3524178161621094
0.0,0.0,0.3625,0.0031874991435205694,0.3928019714355469,-0.38005197486146464
0.0,0.0,0.14166667,0.004291664525801457,0.361447509765625,-0.3442808516624192
0.0,0.0,0.0,0.0,0.35778442382812503,-0.35778442382812503
0.0,0.0,0.25,0.003749998125000937,0.3463826904296875,-0.3313826979296838
0.0,0.0,0.0,0.0,0.3565993347167969,-0.3565993347167969
0.0,0.0,0.47,0.0026499986809611236,0.35133251953125,-0.3407325248074055
0.0,0.0,0.0,0.0,0.36164355468750004,-0.36164355468750004
0.0,0.0,0.7866667,0.0010666654768182575,0.41265444946289065,-0.4083877875556176
0.0,0.0,0.31333333,0.0034333321928629117,0.43014385986328124,-0.41641053109182957
0.0,0.0,0.24777777,0.0037611098716467074,0.42938699340820313,-0.4143425539216163
0.0,0.0,0.26666668,0.0036666653749061226,0.3881417846679688,-0.3734751231683443
0.0,0.0,0.0,0.0,0.3275342102050781,-0.3275342102050781
0.0,0.0,0.0,0.0,0.3447061767578125,-0.3447061767578125
0.0,0.0,0.21666667,0.0039166646984002094,0.3157891845703125,-0.30012252577671167
0.0,0.0,0.0,0.0,0.29005072021484374,-0.29005072021484374
0.0,0.0,0.0,0.0,0.29005072021484374,-0.29005072021484374
0.0,0.0,0.0,0.0,0.29005072021484374,-0.29005072021484374
