id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[1578. 1579.    0.    0.],10081.0,201.60000000059856,[ 22.485 179.115   0.      0.   ],13421.311293618797,3800.0,88438.0,87133.0,3529500000.0,1480366.611526263,1678.0,66.56736084522971,0.1831961114968734,17.17012201170519,7.144737316599425,0.6247884111164145,0.1715107628211487,0.0007935720662632675,0.8828489237178851,[0.112 0.888 0.    0.   ],0.9852438996811326,0.00041942672093108456,17507440.476138495,[7.827 7.832 0.    0.   ],18.849206349150386
1,[1715. 1716.    0.    0.],10081.0,201.60000000059856,[ 24.636 176.964   0.      0.   ],13505.765535148474,2512.0,99388.0,97968.0,2908500000.0,2320153.9544821335,1858.0,66.98623913870068,0.18930661640709973,16.645570875905168,7.970397361906275,0.7627484878245977,0.18748140065469696,0.0002975895248487253,0.8389048705485567,[0.122 0.878 0.    0.   ],0.9857125608725399,0.000797714957704017,14427083.333290499,[8.507 8.512 0.    0.   ],12.460317460280466
2,[1335. 1336.    0.    0.],10081.0,201.60000000059856,[ 19.141 182.459   0.      0.   ],13354.93757981862,1520.0,90307.0,89227.0,2460000000.0,1739327.8061300248,1202.0,66.23815881269189,0.1387560757861316,16.409879972224978,5.558209840306839,0.48920577183057773,0.12201170518797738,0.00019839301656581688,0.7347485368515029,[0.095 0.905 0.    0.   ],0.9880407941798531,0.0007070438236300914,12202380.952344723,[6.622 6.627 0.    0.   ],7.539682539660154
3,[1658. 1659.    0.    0.],10081.0,201.60000000059856,[ 24.143 177.457   0.      0.   ],13464.860836403723,1936.0,93328.0,91965.0,2743500000.0,1385961.4038255315,1836.0,66.78335897430865,0.18303739708362,16.520583275468702,7.645023986907716,0.8146123849354499,0.18400952286479516,0.00019839301656581688,0.7934728697549847,[0.12 0.88 0.   0.  ],0.9853955940339448,0.0005051800269092515,13608630.952340549,[8.224 8.229 0.    0.   ],9.60317460314609
4,[1764. 1765.    0.    0.],10081.0,201.60000000059856,[ 25.891 175.709   0.      0.   ],13489.038019987134,2392.0,92632.0,91156.0,2965500000.0,1881954.092943806,1946.0,66.90327358388843,0.19795655192936862,16.59041761729987,8.28771372994782,0.7915077888156227,0.19839301656581687,0.00019839301656581688,0.819065568891975,[0.128 0.872 0.    0.   ],0.9840659815182659,0.0006346161163189364,14709821.428527756,[8.75  8.755 0.    0.   ],11.865079365044137
5,[1428. 1429.    0.    0.],10081.0,201.60000000059856,[ 20.773 180.827   0.      0.   ],13358.964083399564,2800.0,83875.0,82711.0,2611500000.0,1694376.189880959,1392.0,66.25812956748352,0.15915087788909663,16.70707271104057,6.3473754959954105,0.5776034997037747,0.14482690209304633,0.00039678603313163377,0.7321694276361472,[0.103 0.897 0.    0.   ],0.9861222056631893,0.0006488133983844377,12953869.047580587,[7.083 7.088 0.    0.   ],13.888888888847653
6,[1749. 1750.    0.    0.],10081.0,201.60000000059856,[ 25.627 175.973   0.      0.   ],13580.785986429713,2288.0,92817.0,91428.0,2778000000.0,2199565.7073863945,1857.0,67.35832747954649,0.19537744271401325,16.54399365142347,7.847309415814064,0.8290287744552255,0.18857256224580896,9.919650828290844e-05,0.7933736732467017,[0.127 0.873 0.    0.   ],0.9850350690067552,0.0007917803122341233,13779761.904720992,[8.676 8.681 0.    0.   ],11.349206349172652
