id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3041. 3042.    0.    0.],10081.0,201.60000000059856,[ 45.373 156.227   0.      0.   ],14366.118566027752,6440.0,109543.0,106574.0,7756500000.0,7113630.862041834,5096.0,71.25343996639265,0.5453427239361183,20.16784049201468,18.18693295686973,1.8417849050243138,0.5227655986509275,0.001091161591111993,1.6355520285685945,[0.225 0.775 0.    0.   ],0.9728964881370786,0.0009171186568738264,38474702.38083815,[15.084 15.089  0.     0.   ],31.9444444443496
1,[2741. 2742.    0.    0.],10081.0,201.60000000059856,[ 39.958 161.642   0.      0.   ],14056.856173573791,4056.0,111460.0,109070.0,5280000000.0,2466420.540659292,3512.0,69.719552492661,0.33933141553416546,17.23598849320504,14.158195906541383,1.3437952141316936,0.3584961809344311,0.0005951790496974506,1.2572165459775815,[0.198 0.802 0.    0.   ],0.9785573299838507,0.0004671251023975932,26190476.19039843,[13.596 13.601  0.     0.   ],20.119047618987885
2,[2107. 2108.    0.    0.],10081.0,201.60000000059856,[ 30.486 171.114   0.      0.   ],13739.257201581435,2600.0,102461.0,100614.0,4536000000.0,3172349.535113708,2283.0,68.14431703986646,0.23739708362265197,16.845947822636642,10.173863287629827,0.9535519065971623,0.23559170717190756,0.00039678603313163377,1.0825314948913798,[0.151 0.849 0.    0.   ],0.9819736289905427,0.0006993715906335336,22499999.999933198,[10.451 10.456  0.     0.   ],12.896825396787106
3,[2688. 2689.    0.    0.],10081.0,201.60000000059856,[ 40.219 161.381   0.      0.   ],14035.38422860289,3352.0,106131.0,103712.0,5137500000.0,1966210.8194318763,3653.0,69.61305539430282,0.33361769665707053,16.989584366630293,14.60346880502971,1.4437949326836643,0.37049895843666303,0.0006943755579803591,1.2076182918361273,[0.199 0.801 0.    0.   ],0.9772074134795677,0.0003827174344392947,25483630.95230529,[13.333 13.338  0.     0.   ],16.62698412693476
4,[2657. 2658.    0.    0.],10081.0,201.60000000059856,[ 39.591 162.009   0.      0.   ],13989.540638265484,4136.0,107001.0,104636.0,5065500000.0,5273907.888673922,3454.0,69.38567918987238,0.3329828390040608,17.212578117250274,14.050002362472942,1.3422516688547208,0.35631385775220714,0.000892768574546176,1.1942267632179346,[0.196 0.804 0.    0.   ],0.977897402828011,0.0010411426095496836,25126488.095163494,[13.18  13.185  0.     0.   ],20.515873015812105
5,[2151. 2152.    0.    0.],10081.0,201.60000000059856,[ 31.79 169.81   0.     0.  ],13776.651553925032,4384.0,99522.0,97661.0,4519500000.0,3465172.999820688,2436.0,68.32978649896609,0.25818867175874965,17.239559567503225,10.421278470278478,0.9457883758399475,0.26009324471778594,0.000892768574546176,1.0797539926594584,[0.158 0.842 0.    0.   ],0.9813006169490163,0.0007667160083683345,22418154.7618382,[10.67  10.675  0.     0.   ],21.74603174596718
6,[2717. 2718.    0.    0.],10081.0,201.60000000059856,[ 40.829 160.771   0.      0.   ],14053.587522377056,3608.0,108350.0,105883.0,5206500000.0,3732617.80952481,3745.0,69.70334055338489,0.3529411764705824,17.250272790397776,14.966995233174382,1.475358737145825,0.3830969149885924,0.0005951790496974506,1.2282511655589723,[0.203 0.797 0.    0.   ],0.9772311952007383,0.0007169149734994353,25825892.85706618,[13.477 13.482  0.     0.   ],17.89682539677226
