cluster,weekday,time,Delay Sensitive,Delay Stringent,Delay Tolerant
0,Mon,00:00,261214.80760080228,16006.094624313744,317149.70407084306
0,Mon,00:20,182703.6223352913,4036.6922576406164,301390.25148836855
0,Mon,00:40,115027.41748055357,6977.9271939963255,272469.2972153026
0,Mon,01:00,106385.69726633512,4719.019189631733,270662.71316065383
0,Mon,01:20,148889.17204269202,4339.933468566717,264417.853371329
0,Mon,01:40,72908.30170429926,369.03071240633864,343594.14485589945
0,Mon,02:00,76875.28369742872,1667.0241021816942,227578.82513290242
0,Mon,02:20,83118.67938223624,863.1228950708838,208351.13054995646
0,Mon,02:40,85845.44290193757,1281.9750203402436,293862.04190061096
0,Mon,03:00,79561.42322269279,4051.5274249958843,228423.67126495676
0,Mon,03:20,93728.50270015746,270.16878265312397,218565.73299606325
0,Mon,03:40,60350.98311674168,567.443201736974,242163.75822377868
0,Mon,04:00,78425.99621466218,2063.005000723327,250148.16470579628
0,Mon,04:20,107771.35965619254,5650.037277539779,268881.5797707438
0,Mon,04:40,66314.66647048571,9752.59701477771,284820.9642674578
0,Mon,05:00,160926.90264295306,4317.56084459217,375524.07698005514
0,Mon,05:20,221163.77306356144,5732.1625569856615,440155.69301332213
0,Mon,05:40,207584.77347622838,4565.165618719768,519192.2978039176
0,Mon,06:00,205710.84383940615,7017.491302298901,559572.6183977006
0,Mon,06:20,242732.71245720083,7173.751777888766,728982.355690565
0,Mon,06:40,217647.9840344549,12773.2509817902,661908.6211776723
0,Mon,07:00,305448.43793312344,17043.64810610266,706019.0817967072
0,Mon,07:20,239858.55310251893,17806.719196698516,749552.4820921763
0,Mon,07:40,260860.02787446664,29990.39980074359,650643.1743192984
0,Mon,08:00,305020.3626677282,35135.87844773464,766259.0789679913
0,Mon,08:20,284335.1740061609,42907.035773837626,801083.8907239466
0,Mon,08:40,351536.45091302774,37719.13568634903,847432.2810228611
0,Mon,09:00,346906.88859080966,34431.62041589272,767761.4913040512
0,Mon,09:20,275045.4046121186,33540.3794610911,764948.1779794757
0,Mon,09:40,250764.3135965743,20770.555802433257,820399.940917818
0,Mon,10:00,315200.8114250041,28115.987547548862,809334.4617069067
0,Mon,10:20,371956.4737448076,19791.556842024576,873345.9306459649
0,Mon,10:40,442207.98879722843,11805.985911453627,874202.0739141518
0,Mon,11:00,376367.7853368546,24025.176374614988,814510.4623363798
0,Mon,11:20,337601.2029264765,18192.536668957957,868322.4585007724
0,Mon,11:40,420386.22255508404,17914.943945323867,835059.3579202555
0,Mon,12:00,421077.3485706332,27719.042680954713,864966.9334981896
0,Mon,12:20,355471.66020744963,23856.725882474337,909178.615989637
0,Mon,12:40,411337.72576622135,23594.13911232198,904247.4009661609
0,Mon,13:00,474584.8704152292,27971.29635217356,835556.8803944333
0,Mon,13:20,411853.80816938233,33210.616744749655,819927.6554583706
0,Mon,13:40,308911.7663871811,21024.807201055653,758678.1799102552
0,Mon,14:00,347954.83309850085,29644.357385897085,973335.0369589317
0,Mon,14:20,382802.1729216478,16826.900039089793,976157.20506897
0,Mon,14:40,404819.56787696586,21377.115998363144,1103124.971302495
0,Mon,15:00,423606.53582386597,20107.66463804599,906279.2671817747
0,Mon,15:20,386247.2869755159,20974.0941006408,949822.8483460566
0,Mon,15:40,385629.4079057401,26118.703847497138,833412.8644131589
0,Mon,16:00,368365.76860693813,17824.732137071405,803592.9744082746
0,Mon,16:20,356580.36079242796,12284.512663381565,894982.6714755205
0,Mon,16:40,347421.0855971054,12902.16133846084,754294.68048619
0,Mon,17:00,338636.76087994414,11102.315302402554,740048.442561268
0,Mon,17:20,333285.8672038327,8862.395271114217,658881.54305342
0,Mon,17:40,301876.810364346,16961.099051165143,633486.8796422547
0,Mon,18:00,375522.7041754003,14923.182877844632,695907.3756057173
0,Mon,18:20,333822.42751636065,6670.429933633082,680428.9378366505
0,Mon,18:40,307084.5457690379,13180.891262775825,599466.1232436564
0,Mon,19:00,337668.09214787534,10091.308704586887,566579.3612913402
0,Mon,19:20,363331.48140881554,3997.386069069054,600584.5457387033
0,Mon,19:40,339644.61250448157,11774.858288950489,588128.7353115204
0,Mon,20:00,336680.13615908177,10164.64429715828,590074.1887270331
0,Mon,20:20,295203.1858287143,11702.856703356354,537365.6453490646
0,Mon,20:40,370886.2555806935,5590.257540417298,540319.9736998554
0,Mon,21:00,378591.97324201296,9872.73808725951,554425.2651343489
0,Mon,21:20,281822.606247168,9714.840110295483,518058.1760634975
0,Mon,21:40,309939.1199900612,11242.120111136801,522977.1229807454
0,Mon,22:00,306063.9448210582,3933.9162115662916,397984.28589244036
0,Mon,22:20,215763.93621587695,7848.373957625449,362131.31685189734
0,Mon,22:40,196848.75607197484,2586.5457017141916,356548.54226388736
0,Mon,23:00,202912.70253477158,1311.9727706565043,342536.0281284177
0,Mon,23:20,167804.35659383005,807.8886175743631,408571.9242424964
0,Mon,23:40,147507.73243855147,2073.3595471456956,322872.68301134673
0,Tue,00:00,151249.58426623166,247.08560411331163,256217.63403300467
0,Tue,00:20,170214.24372764616,563.7510331095252,292841.5663447393
0,Tue,00:40,97976.9678142829,2005.038723502723,265296.9682427714
0,Tue,01:00,161402.74571980827,463.1447367509187,318501.8741812699
0,Tue,01:20,132221.10600068714,173.72900173508344,298934.87814765377
0,Tue,01:40,140562.3959439965,629.6369648479179,231257.71737355087
0,Tue,02:00,109929.38281308912,47.54459220037386,225243.86984047748
0,Tue,02:20,139615.3788074187,1261.1527198277204,221050.8012962509
0,Tue,02:40,71151.77608311483,67.65803743337999,258434.3202336025
0,Tue,03:00,74934.44414114105,407.8782783416801,234900.47168296936
0,Tue,03:20,117189.43161428529,299.6872156483283,218375.69209309877
0,Tue,03:40,113990.01124193489,526.9451458248992,246639.67049345904
0,Tue,04:00,81330.08747410137,106.65328743938576,302417.71042238356
0,Tue,04:20,118313.12908795323,152.71913322000296,328841.3222075644
0,Tue,04:40,145119.02762060208,1081.6617887385116,309977.6125315274
0,Tue,05:00,146139.23526381177,825.5959414119209,351673.6038125587
0,Tue,05:20,184816.42924477972,6919.8083702616,383970.95779460116
0,Tue,05:40,220226.267745299,2175.093384893415,445640.7446143921
0,Tue,06:00,195447.02614129838,8211.649496913496,569242.7981836483
0,Tue,06:20,229394.40607759813,5952.541875564799,557234.4836400548
0,Tue,06:40,326629.0812564474,12581.38210003562,669337.022579487
0,Tue,07:00,312000.6023529802,15529.050092281706,780971.2721574171
0,Tue,07:20,298656.8990070208,17438.665076242174,741185.151210555
0,Tue,07:40,290103.0062153185,25120.19254321385,615803.8468523431
0,Tue,08:00,323329.4850661522,36132.25705053068,740547.1645976698
0,Tue,08:20,325030.53984130017,36158.468676015524,812352.0399510226
0,Tue,08:40,260362.71263306052,25782.69093096588,732983.811853716
0,Tue,09:00,349497.77112002403,27158.74986369384,905257.4604392358
0,Tue,09:20,343494.8208630992,22078.148591361594,801977.0650972159
0,Tue,09:40,322687.4441090293,24688.995711198328,745815.1522942196
0,Tue,10:00,381693.8930455329,25115.788948195765,836463.4924783793
0,Tue,10:20,371638.8930812296,29336.058425551757,869831.2055520524
0,Tue,10:40,335049.83033876057,20076.90030841157,795519.8435809383
0,Tue,11:00,389623.2500717071,14067.77591461074,932409.3554608182
0,Tue,11:20,387854.68075208017,16576.629562670754,969339.7435689503
0,Tue,11:40,372395.6234583514,18586.552018390365,872138.9011570722
0,Tue,12:00,357559.1699451382,26817.479561025506,1034225.0112616061
0,Tue,12:20,456748.1572060506,17359.719718847107,823983.0252396853
0,Tue,12:40,350986.8283740334,19612.438185563507,699207.1085505282
0,Tue,13:00,385510.89502434025,30596.91900003694,935147.6464584835
0,Tue,13:20,329947.38181573246,29496.999294396042,1008436.9346911816
0,Tue,13:40,364394.6639855651,25010.08887557301,916194.706570803
0,Tue,14:00,351495.826447781,26089.52993395208,975253.4208520765
0,Tue,14:20,417680.5914887306,23716.026601475973,849888.0868051912
0,Tue,14:40,489481.40859220107,23973.68094400627,745177.4353002002
0,Tue,15:00,431060.16611109336,13725.602191614269,921623.999693195
0,Tue,15:20,361498.9366141047,19457.356791063045,908310.1184182366
0,Tue,15:40,330502.5744539703,13710.684457311154,834184.2098115395
0,Tue,16:00,384274.95097208594,12914.267709601709,838401.1808586743
0,Tue,16:20,339651.2235847388,9909.374321517795,776597.9481948984
0,Tue,16:40,319836.61234727065,8769.585661012721,829446.4672561339
0,Tue,17:00,368414.17712778004,8267.428702443807,727967.0468017795
0,Tue,17:20,294817.93843230646,12012.405815826001,617249.1497799736
0,Tue,17:40,349744.3977879118,11889.767357818795,582522.4575165112
0,Tue,18:00,282081.9843111825,11946.538743566432,718988.0759626807
0,Tue,18:20,359176.0064740824,8427.661005093327,633948.5403730012
0,Tue,18:40,334239.02946249157,15470.644895555699,629074.5712392937
0,Tue,19:00,294497.97450749844,17352.475452736508,627042.3429057174
0,Tue,19:20,407439.2350540718,11765.048264904639,683452.8587010583
0,Tue,19:40,278408.70563539513,11218.804527348379,650678.4710355899
0,Tue,20:00,301110.7007151932,6752.287918514247,571306.3920558705
0,Tue,20:20,368639.016102511,15795.638355288194,561104.5553498974
0,Tue,20:40,271451.2071257588,16337.685150866808,557173.1094200701
0,Tue,21:00,346421.1935701415,15496.634949906143,542068.179619133
0,Tue,21:20,256596.52088724636,31210.125736583523,503195.4393624189
0,Tue,21:40,240697.69198943084,9795.273178590778,370237.1317150727
0,Tue,22:00,320763.6107275439,13518.492676240718,400643.6794799015
0,Tue,22:20,218297.75028004887,5216.238124659407,418706.208479283
0,Tue,22:40,231694.97843744716,4014.131015138471,346568.09986298374
0,Tue,23:00,199100.81264104063,2110.4563437035904,381385.3494101098
0,Tue,23:20,141220.045653589,3072.2385386438764,295551.89918758476
0,Tue,23:40,146915.46310320555,4168.625509620621,252727.017693704
0,Wed,00:00,142531.98115161838,8115.515057141269,308655.2833258268
0,Wed,00:20,134583.73238795792,578.5467296639573,306586.363397345
0,Wed,00:40,64266.97165047086,1817.6172232009183,240637.02617784106
0,Wed,01:00,62847.6797567902,161.06855901694942,222244.11692147906
0,Wed,01:20,82182.2995183147,103.41580768200635,203628.28980563043
0,Wed,01:40,77158.42987772283,442.9357647670039,214549.76803673425
0,Wed,02:00,75927.23370303342,118.11602118788862,229358.26524447568
0,Wed,02:20,40491.10171290355,341.2925840285874,190232.04723195435
0,Wed,02:40,63895.65481550043,240.41944146717933,229235.37554033162
0,Wed,03:00,65230.2026897348,275.0891682429744,213994.30060194884
0,Wed,03:20,105689.46210341303,1166.966154952548,205289.66143169653
0,Wed,03:40,88541.0915814785,594.0829299628012,326293.1626419398
0,Wed,04:00,78416.62501768758,290.35021489874424,262510.7880445571
0,Wed,04:20,111804.41555670838,482.05214719261966,212369.9663720561
0,Wed,04:40,147694.5277386099,977.9468039385577,300124.5421444778
0,Wed,05:00,126463.90712274924,1118.6154383048397,328983.21784678305
0,Wed,05:20,139815.48882701204,456.63421622171404,407768.4108533405
0,Wed,05:40,233673.4706590406,3876.957050609127,525417.2090836816
0,Wed,06:00,249120.8683692716,8329.858385849353,501124.5117234749
0,Wed,06:20,245653.71710180634,7250.010263416346,547332.2326370203
0,Wed,06:40,270800.9126043659,18847.87703795012,637168.2967940259
0,Wed,07:00,342230.76906058466,16911.8652605091,804607.3395407791
0,Wed,07:20,281283.27584689145,22303.471350911474,704354.1995703836
0,Wed,07:40,294314.79763488896,22284.96326290379,673670.5995313062
0,Wed,08:00,261520.8677605495,28831.466317997896,800355.1138469145
0,Wed,08:20,347154.1564789849,30274.87959709128,689032.595560438
0,Wed,08:40,315871.94617919886,22280.69336435634,679882.1084072655
0,Wed,09:00,333853.2481440547,26977.903518887582,855727.0034640111
0,Wed,09:20,381970.19779099734,36829.90148121001,828051.6198773154
0,Wed,09:40,285664.56180835614,30481.479948724562,729417.5906162767
0,Wed,10:00,325585.7995760517,28994.583871020397,885529.627451081
0,Wed,10:20,315117.9231000251,21069.670781867142,782528.0201538587
0,Wed,10:40,305939.9611706559,20390.594996104694,843737.1670056497
0,Wed,11:00,360642.70533630427,22553.249937539145,971070.7115584895
0,Wed,11:20,376409.7333301849,16695.396405969914,972005.0674109765
0,Wed,11:40,309043.43066925503,17949.7961786722,797720.1909804415
0,Wed,12:00,359911.9426328756,37142.281801125355,888965.882922484
0,Wed,12:20,369088.98459263006,18729.98139677216,764942.1776750996
0,Wed,12:40,374445.05644169013,18852.17545323584,730012.5215135432
0,Wed,13:00,386774.3047900622,19507.25205983125,1030280.391082601
0,Wed,13:20,377288.45676896436,23759.06746146951,866468.3962256585
0,Wed,13:40,347322.55775930197,18680.541462049427,899660.0904021907
0,Wed,14:00,444555.9903763294,23491.474710215047,855492.0737765362
0,Wed,14:20,370059.4037725429,27877.904154426255,955439.5741242355
