id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[5457. 5237. 1369.    0.],10081.0,201.60000000059856,[80.657 26.867 94.076  0.   ],15561.724945336822,7792.0,95809.0,89375.0,17580.0,15501000000.0,14193861.563111562,77.18343887181919,2.213827993254653,36.78047812716992,48.49788785938731,7.130426700546634,1.7819660747941672,0.0016863406408094434,3.177760142842972,[0.4   0.133 0.467 0.   ],0.9328455573067248,0.0009156739283344018,76889880.95215267,[27.068 25.977  6.791  0.   ],38.65079365067889
1,[2765. 2430. 1375.    0.],10081.0,201.60000000059856,[ 35.139  13.224 153.237   0.   ],13453.258418996445,4976.0,70892.0,69017.0,3319.0,5392500000.0,6537498.466921183,66.72581300959669,0.44309096319809266,18.06725523261581,14.993087061818896,1.6047271330097506,0.34857653010614026,0.0030750917567701616,1.2562245808947525,[0.174 0.066 0.76  0.   ],0.9735513174970377,0.0012123316582144058,26748511.904682487,[13.715 12.054  6.82   0.   ],24.6825396824664
2,[2032. 1833. 1130.    0.],10081.0,201.60000000059856,[ 24.534  11.364 165.702   0.   ],12936.07351153241,4112.0,54794.0,53573.0,2082.0,4569000000.0,8142562.909180017,64.1606661617427,0.30028766987401473,17.504215851602023,9.83938286700054,1.0560390389403194,0.21604999504017458,0.0029758952484872534,1.0479119135006447,[0.122 0.056 0.822 0.   ],0.9777165383071139,0.001782132394217557,22663690.476123188,[10.079  9.092  5.605  0.   ],20.39682539676484
3,[2682. 2394. 1311.    0.],10081.0,201.60000000059856,[ 34.142  12.924 154.534   0.   ],13660.79331311346,4344.0,66093.0,64275.0,3337.0,5164500000.0,8843242.792292695,67.75514985175904,0.40777700624936986,17.491121912508678,14.61246885107857,1.6653417643593917,0.3478821545481599,0.0027775022319214363,1.2183315147306815,[0.169 0.064 0.767 0.   ],0.9724933048885661,0.0017123134460824273,25617559.523733463,[13.304 11.875  6.503  0.   ],21.547619047555074
4,[2817. 2417. 1456.    0.],10081.0,201.60000000059856,[ 35.325  12.749 153.526   0.   ],13587.511175221844,5184.0,66791.0,64976.0,3498.0,5271000000.0,5160294.628318191,67.39168324184139,0.44920146810831957,17.9767880170618,14.685797218510315,1.6674534088817012,0.3625632377740304,0.003571074298184704,1.2521575240551532,[0.175 0.063 0.762 0.   ],0.9728256801066012,0.0009789972734430261,26145833.333255704,[13.973 11.989  7.222  0.   ],25.714285714209367
5,[2224. 1869. 1285.    0.],10081.0,201.60000000059856,[ 27.351  11.882 162.367   0.   ],13003.900769645572,5544.0,55290.0,53994.0,2341.0,4839000000.0,3969569.1379947816,64.4970775203052,0.3656780081341057,18.097410971133815,10.458659945374675,1.1387720580557283,0.24630493006646165,0.0023807161987898025,1.1026683860728101,[0.136 0.059 0.805 0.   ],0.9765599565925122,0.0008203284021481259,24002976.190404925,[11.032  9.271  6.374  0.   ],27.49999999991835
6,[2990. 2612. 1352.    0.],10081.0,201.60000000059856,[ 38.255  12.918 150.427   0.   ],13573.917030363666,4200.0,65294.0,63324.0,3845.0,5419500000.0,7266972.198585519,67.32425865668955,0.462771550441425,17.589921634758458,16.048918807121904,1.847544049587693,0.4009522864795159,0.0034718777899017954,1.2510663624640412,[0.19  0.064 0.746 0.   ],0.9698287744662603,0.0013408934769970511,26882440.476110663,[14.831 12.956  6.706  0.   ],20.83333333327148
