id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3988. 4113.  915.  433.],10081.0,201.60000000059856,[62.809 24.621 54.704 59.466],12433.291791407224,6576.0,138081.0,132635.0,10465500000.0,57388363.76678293,11662.0,61.666956608502325,1.2857454617597455,25.591508778890983,33.23430463271464,5.181572571834943,1.1740898720365043,0.06963594881460172,2.639023906358496,[0.312 0.122 0.271 0.295],0.9605593818121247,0.005483575917708942,51912202.38079825,[19.782 20.402  4.539  2.148],32.61904761895077
1,[2546. 2832. 1007.  524.],10081.0,201.60000000059856,[37.362 19.832 61.599 82.807],10654.864771554396,6616.0,157604.0,154621.0,5361000000.0,68801002.98626392,4002.0,52.84626907823694,0.4334490625929939,18.097014185100683,15.15630172518873,2.5691783698227417,0.4066064874516417,0.06160103164368614,1.7218529907747246,[0.185 0.098 0.306 0.411],0.9810728154107764,0.012833613688913247,26592261.904682953,[12.629 14.048  4.995  2.599],32.81746031736288
2,[1969. 2308.  987.  551.],10081.0,201.60000000059856,[27.863 20.57  63.084 90.083],10322.259198362328,4744.0,133965.0,131833.0,4518000000.0,58062075.97817681,2403.0,51.19660350343299,0.2949707370300508,17.130443408392026,9.784353406276605,1.8613855292797379,0.24352742783454023,0.04999504017458586,1.4471778593393512,[0.138 0.102 0.313 0.447],0.9840853954391072,0.012851278436958125,22410714.285647746,[ 9.767 11.448  4.896  2.733],23.531746031676164
3,[2458. 2802.  953.  531.],10081.0,201.60000000059856,[35.022 21.504 59.342 85.732],11006.23111560908,5520.0,139432.0,136668.0,5166000000.0,56334448.29746818,3645.0,54.58898480115355,0.38500148794761746,17.69030850114076,14.136854193726917,2.3745170815505516,0.3679198492213074,0.055550044638428726,1.5647257216545978,[0.174 0.107 0.294 0.425],0.9801767169659762,0.01090484868321103,25624999.99992392,[12.192 13.899  4.727  2.634],27.380952380871086
4,[2626. 2914. 1046.  513.],10081.0,201.60000000059856,[37.974 21.71  61.821 80.095],10857.453775606707,6964.0,147112.0,144067.0,5686500000.0,60181913.96258169,4118.0,53.8510751691623,0.4562642594980631,18.688225374466818,15.573171128831175,2.575937880012633,0.4208907846443805,0.058823529411764705,1.7187778990179545,[0.188 0.108 0.307 0.397],0.9793014845831747,0.010583296221328002,28206845.23801149,[13.026 14.454  5.188  2.545],34.54365079354823
5,[2163. 2427. 1029.  517.],10081.0,201.60000000059856,[32.16  20.381 65.466 83.593],10153.390741508096,7752.0,129676.0,127463.0,4989000000.0,60642439.19150737,2910.0,50.35904543948095,0.4044440035710703,18.67394107727408,11.185744687591933,2.038180276637991,0.30026783057236384,0.03948021029659756,1.5238567602420394,[0.16  0.101 0.325 0.415],0.9829343903266603,0.012155229342855756,24747023.809450336,[10.729 12.039  5.104  2.564],38.452380952266786
6,[2498. 2781.  976.  512.],10081.0,201.60000000059856,[37.438 20.689 60.956 82.517],10677.0334738643,6336.0,147604.0,144866.0,5242500000.0,64167032.655871786,3754.0,52.95622197135113,0.42118837416922256,17.907350461263764,13.69918280315661,2.4553506376518768,0.38121218133121715,0.05535165162186291,1.6581688324570976,[0.186 0.103 0.302 0.409],0.9814503671987209,0.012239777330638395,26004464.285637077,[12.391 13.795  4.841  2.54 ],31.428571428478115
