id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4317. 4455.  853.  423.],10081.0,201.60000000059856,[68.713 24.935 51.038 56.914],12881.065490324858,6472.0,133552.0,127367.0,11560500000.0,52153478.262396015,13806.0,63.88783598018116,1.5140164666203961,27.563932149588336,38.977011574097176,5.863517115389197,1.3898422775518302,0.07300863009622062,2.8440630889792677,[0.341 0.124 0.253 0.282],0.9536884509404576,0.004511351434833789,57343749.99982975,[21.414 22.098  4.231  2.098],32.10317460307929
1,[2406. 2723. 1017.  546.],10081.0,201.60000000059856,[34.584 20.823 57.37  88.823],10501.299556047044,6880.0,152985.0,150183.0,5520000000.0,67551230.125365,3765.0,52.08461241963565,0.400198393016559,18.196607479416723,13.83158325380009,2.5111313886848254,0.3816089673643488,0.06715603610752902,1.7682769566511258,[0.172 0.103 0.285 0.441],0.9816844788704775,0.012237541689377717,27380952.380871087,[11.935 13.507  5.045  2.708],34.1269841268828
2,[1910. 2283.  944.  528.],10081.0,201.60000000059856,[27.8   18.64  60.025 95.135],10575.511116451844,4656.0,125431.0,123312.0,4713000000.0,45892638.333906524,2761.0,52.45268880295329,0.31155639321495343,17.435968653903384,10.39918520447747,1.8532996550828964,0.278444598750124,0.05158218430711239,1.4795159210395794,[0.138 0.092 0.298 0.472],0.9831062496512026,0.00973745774112169,23377976.19040678,[ 9.474 11.324  4.683  2.619],23.095238095169524
3,[2375. 2713. 1004.  524.],10081.0,201.60000000059856,[33.817 20.508 59.446 87.829],10787.542691037832,5780.0,136933.0,134276.0,5293500000.0,77159147.23879355,3385.0,53.5043283951861,0.37531990873920573,17.61293522468009,13.336603059613042,2.276689032597977,0.343418311675429,0.057533974804086896,1.597857355421089,[0.168 0.102 0.295 0.436],0.9805963500398005,0.014576206146933703,26257440.47611252,[11.781 13.457  4.98   2.599],28.670634920549798
4,[2353. 2656.  954.  521.],10081.0,201.60000000059856,[34.701 19.301 60.421 87.177],10739.604129147574,6600.0,134011.0,131354.0,5413500000.0,62324856.52713581,3415.0,53.26656149760551,0.39107231425453215,17.975597658962403,13.417588472606127,2.3595807558837327,0.34937010217240355,0.05495486558873128,1.6030155738518004,[0.172 0.096 0.3   0.432],0.9801732693584855,0.011512857952735904,26852678.571348846,[11.672 13.175  4.732  2.584],32.73809523799804
5,[2094. 2382.  981.  517.],10081.0,201.60000000059856,[31.142 19.893 61.727 88.838],10119.477355458497,7368.0,124731.0,122388.0,5224500000.0,49594516.47032432,3151.0,50.190840965472525,0.41051482987798527,19.03620672552326,11.412859753944,1.9393893484185147,0.3218926693780379,0.04870548556690805,1.549350262870747,[0.154 0.099 0.306 0.441],0.9812155759193785,0.009492681877753723,25915178.57135163,[10.387 11.815  4.866  2.564],36.54761904751054
6,[2460. 2772.  986.  524.],10081.0,201.60000000059856,[36.322 20.997 58.915 85.366],10695.733806367873,6480.0,142029.0,139256.0,5530500000.0,71966468.3114693,3820.0,53.04897235575608,0.42142644578910493,18.11804384485666,14.411797050811511,2.428779913742839,0.38984227755183015,0.05902192242833052,1.6927884138478326,[0.18  0.104 0.292 0.423],0.980475818318794,0.013012651353669524,27433035.714204267,[12.202 13.75   4.891  2.599],32.14285714276171
