demand,done,dropped,delay,delay_budget,service_time,avg_tx_power,avg_chan_gain,avg_signal,avg_interference,avg_sinr
1500000.0,1500000.0,0.0,0.028000000000000018,0.3,0.016000000000000007,6.0,3.780688596583016e-13,1.3383637631903876e-10,0.0,670.770832060375
1500000.0,1500000.0,0.0,0.03900000000000003,0.3,0.014000000000000005,1.5825508327302196,3.4990425238470603e-12,3.433195849121021e-10,5.011977056828301e-14,1145.2928127718715
1500000.0,1500000.0,0.0,0.04900000000000004,0.15,0.01800000000000001,3.2,1.9383059829318178e-13,3.907624861590545e-11,1.9401277060364717e-14,163.959416461764
1500000.0,1500000.0,0.0,0.06100000000000005,0.3,0.01900000000000001,3.9087245836348905,7.847351119923972e-13,1.8789770045616409e-10,2.7983506880775464e-13,504.08826263677923
1500000.0,1500000.0,0.0,0.08200000000000006,0.3,0.028000000000000018,2.1538271935744286,8.021714842348625e-14,1.0711980291261047e-11,9.515943259246984e-14,35.843343497463714
1500000.0,1500000.0,0.0,0.06100000000000005,0.3,0.03000000000000002,3.184629604819179,4.075407163761464e-14,8.111977143972475e-12,2.295863909948158e-14,37.163617081325384
1500000.0,1500000.0,0.0,0.025000000000000015,0.3,0.014000000000000005,3.2,1.2244749347624905e-12,2.468541468481181e-10,0.0,1237.2014696822855
1500000.0,1500000.0,0.0,0.022000000000000013,0.15,0.01900000000000001,5.6000000000000005,1.7076760313728946e-13,5.259642176628515e-11,0.0,263.60655123737666
1500000.0,1500000.0,0.0,0.026000000000000016,0.3,0.014000000000000005,6.4,1.0543413699972619e-12,4.25110440382896e-10,3.5195474027406935e-15,2094.2972046888235
1500000.0,1500000.0,0.0,0.1240000000000001,0.3,0.014000000000000005,3.2,1.1128516559899135e-12,2.2435089384756655e-10,4.8285074277718826e-15,1072.5089019298423
1500000.0,1500000.0,0.0,0.015000000000000006,0.3,0.012000000000000004,6.0,4.991807772429197e-12,1.767099951439936e-09,0.0,8856.479362050673
1500000.0,1500000.0,0.0,0.07700000000000005,0.3,0.016000000000000007,2.6,6.927371600877762e-13,9.185694742763911e-11,6.111654719345924e-15,433.7999838005999
1500000.0,1500000.0,0.0,0.10700000000000008,0.15,0.017000000000000008,1.6528239745829127,3.2188153024343925e-13,3.2984837630031057e-11,3.865818529954843e-15,156.23466075825618
1500000.0,1500000.0,0.0,0.11200000000000009,0.3,0.01900000000000001,2.848305615250253,5.277985748530254e-13,9.455772630907084e-11,7.325080217565436e-15,466.57786842942096
1500000.0,1500000.0,0.0,0.060000000000000046,0.15,0.011000000000000003,1.478866429342143,6.834783985722671e-11,4.649556990613651e-09,6.433591093572802e-14,14166.92434002753
1500000.0,1500000.0,0.0,0.11700000000000009,0.3,0.013000000000000005,3.0,3.690579622070863e-12,6.532325931065427e-10,6.126465930952972e-14,2028.3227315019517
1500000.0,1500000.0,0.0,0.1290000000000001,0.3,0.016000000000000007,2.2140890471052384,3.681284226667605e-12,3.808218446977852e-10,1.6006669284695543e-13,866.2399633968661
1500000.0,1500000.0,0.0,0.03900000000000003,0.3,0.025000000000000015,5.066666666666667,5.216366672074392e-14,1.3145244013627468e-11,4.8744706067195815e-15,64.53977551166734
1500000.0,1500000.0,0.0,0.03300000000000002,0.3,0.02000000000000001,5.2,1.4090825623296432e-13,3.736886955298214e-11,1.0562843609477932e-14,178.32232628390344
1500000.0,1500000.0,0.0,0.026000000000000016,0.3,0.013000000000000005,2.6666666666666665,7.210531585391069e-12,7.498952848806711e-10,2.9613632106866976e-14,3134.1518368685843
1500000.0,1500000.0,0.0,0.01800000000000001,0.3,0.015000000000000006,6.4,7.368946529917549e-13,2.971159240862756e-10,7.84787309271967e-14,1161.2849779865412
1500000.0,0.0,1500000.0,0.1500000000000001,0.15,0.0,0.0,5.288133646650121e-13,0.0,0.0,0.0
1500000.0,1500000.0,0.0,0.02900000000000002,0.3,0.015000000000000006,6.0,7.345535586285678e-13,2.60031959754513e-10,0.0,1303.2469856404236
1500000.0,1500000.0,0.0,0.024000000000000014,0.15,0.02100000000000001,6.0,9.506423895629963e-14,3.365274059053007e-11,2.235040274903316e-14,153.22804708735595
1500000.0,1500000.0,0.0,0.027000000000000017,0.3,0.015000000000000006,5.2,9.485136445969732e-13,2.5154581854711734e-10,0.0,1260.7155292813734
1500000.0,1500000.0,0.0,0.11900000000000009,0.3,0.01900000000000001,1.2,4.1997639156477086e-13,1.7639008445720375e-11,0.0,88.40445846838674
1500000.0,1500000.0,0.0,0.03100000000000002,0.15,0.01900000000000001,5.6000000000000005,1.597229614260337e-13,4.919467211921839e-11,0.0,246.55741628631728
1500000.0,1500000.0,0.0,0.028000000000000018,0.3,0.016000000000000007,6.0,4.347612135196869e-13,1.5390546958596917e-10,0.0,771.3545654189805
1500000.0,1500000.0,0.0,0.02900000000000002,0.3,0.01800000000000001,2.8000000000000003,2.4448306668462017e-13,3.765039226943151e-11,0.0,188.69895946497988
1500000.0,1500000.0,0.0,0.03100000000000002,0.3,0.01900000000000001,6.4,1.6025552059353994e-13,6.461502590331531e-11,3.3064047484511925e-15,318.6479338198688
1500000.0,1500000.0,0.0,0.036000000000000025,0.3,0.024000000000000014,4.800000000000001,7.588723459174433e-14,1.7120160123897523e-11,0.0,85.80405691752125
1500000.0,1500000.0,0.0,0.03400000000000002,0.3,0.016000000000000007,2.2,1.0014506385977427e-12,9.473723041134647e-11,0.0,474.8109043137215
1500000.0,1500000.0,0.0,0.036000000000000025,0.15,0.02100000000000001,2.371887807220075,1.3913077956807727e-13,2.0460161179325877e-11,0.0,102.54371581034428
