id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[4851. 4693. 1046.    0.],10081.0,201.60000000059856,[ 72.838  21.413 107.349   0.   ],15534.815236140532,5512.0,81733.0,75180.0,14223000000.0,11657204.676871035,20211.0,77.04997141225874,2.17367324670171,35.8357305822835,49.651594069342934,8.069720571660243,2.0234103759547666,0.0006943755579803591,3.1064378533875607,[0.361 0.106 0.532 0.   ],0.919824305971884,0.0008196023818372379,70550595.23788577,[24.062 23.279  5.188  0.   ],27.341269841188666
1,[2204. 1862. 1121.    0.],10081.0,201.60000000059856,[ 28.243  10.046 163.311   0.   ],13487.56065242307,3324.0,61656.0,60323.0,4419000000.0,4632906.548752594,2393.0,66.89594609870699,0.3275865489534687,17.06656085705783,10.671288467155064,1.347348554231315,0.25314948913798235,0.002876698740204345,1.1113976788017061,[0.14 0.05 0.81 0.  ],0.978380044115739,0.0010484060983825738,21919642.857077777,[10.933  9.236  5.561  0.   ],16.488095238046284
2,[1822. 1538. 1022.    0.],10081.0,201.60000000059856,[ 21.711   8.69  171.199   0.   ],13330.300863000548,2812.0,49077.0,48075.0,3936000000.0,3270842.6392731657,1736.0,66.11596499850529,0.25850610058525375,16.999900803491716,8.306680356059879,0.8629012311279846,0.18093443110802498,0.002479912707072711,0.9541712131732963,[0.108 0.043 0.849 0.   ],0.9795831041017177,0.0008310067681080197,19523809.523751557,[9.038 7.629 5.069 0.   ],13.948412698371286
3,[2345. 1981. 1198.    0.],10081.0,201.60000000059856,[ 28.731  10.306 162.563   0.   ],13847.652308352774,3164.0,58684.0,57300.0,4413000000.0,4924232.266778881,2641.0,68.68193784520747,0.34766392222992915,17.18321595079853,11.3040178206106,1.309194322106067,0.27199682571173495,0.0029758952484872534,1.1055450848130146,[0.143 0.051 0.806 0.   ],0.9764160588916911,0.0011158468766777432,21889880.95231596,[11.632  9.826  5.942  0.   ],15.694444444397847
4,[2203. 1796. 1167.    0.],10081.0,201.60000000059856,[ 27.333   9.272 164.995   0.   ],13471.978608084644,3568.0,55162.0,53826.0,4243500000.0,3523160.6519262227,2454.0,66.81866187919336,0.3320702311278572,17.261779585358596,10.910426892278394,1.206671633900977,0.25761333201071324,0.002479912707072711,1.0501934331911518,[0.136 0.046 0.818 0.   ],0.97578042855589,0.0008302487691590015,21049107.142794646,[10.928  8.909  5.789  0.   ],17.69841269836015
5,[1756. 1474.  994.    0.],10081.0,201.60000000059856,[ 21.064   8.698 171.838   0.   ],12960.686090504953,4080.0,45632.0,44659.0,3891000000.0,3059098.454381749,1665.0,64.28274025644099,0.266719571471079,17.404622557285983,8.015020948865113,0.9046901661611817,0.17607380220216248,0.003372681281618887,0.9283801210197401,[0.104 0.043 0.852 0.   ],0.9786772440392707,0.0007861985233569131,19300595.238037933,[8.71  7.312 4.931 0.   ],20.23809523803515
6,[2369. 2017. 1151.    0.],10081.0,201.60000000059856,[ 29.447   9.985 162.168   0.   ],13274.875523055947,3040.0,59205.0,57792.0,4351500000.0,4990991.71667856,2685.0,65.84106498886007,0.34444995536156203,17.043150481103066,11.571068007473578,1.4394957003016868,0.278444598750124,0.0034718777899017954,1.100684455907152,[0.146 0.05  0.804 0.   ],0.976133772485432,0.0011469589145532712,21584821.428507343,[11.751 10.005  5.709  0.   ],15.079365079320308
