drop_ratio,ue_drop_ratio,delay_ratio,qos_reward,pc_kw,reward
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.25613711547851564,-0.25613711547851564
0.0,0.0,0.0,0.0,0.25613711547851564,-0.25613711547851564
0.0,0.0,0.0,0.0,0.2860820007324219,-0.2860820007324219
0.0,0.0,0.51666665,0.0024166643294751974,0.3117886657714844,-0.306955337112534
0.0,0.0,0.0,0.0,0.33005947875976566,-0.33005947875976566
0.0,0.0,0.27,0.003649998121356759,0.2797160339355469,-0.2724160376928334
0.0,0.0,0.0,0.0,0.21865362548828127,-0.21865362548828127
0.0,0.0,0.0,0.0,0.3745955200195313,-0.3745955200195313
0.0,0.0,0.8933333,0.0005333328874205916,0.3526894836425781,-0.35162281786773697
0.0,0.0,0.44444445,0.0027777768352953204,0.3040018005371094,-0.29844624686651877
0.0,0.0,0.0,0.0,0.19991189575195312,-0.19991189575195312
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.18117015075683593,-0.18117015075683593
0.0,0.0,0.0,0.0,0.24766836547851562,-0.24766836547851562
0.0,0.0,0.46,0.0026999972582794907,0.24764471435546875,-0.24224471983890977
0.0,0.0,0.6333333,0.0018333315397382236,0.23392515563964844,-0.230258492560172
0.0,0.0,0.0,0.0,0.2519965972900391,-0.2519965972900391
0.0,0.0,0.0,0.0,0.28366888427734377,-0.28366888427734377
0.0,0.0,0.33444443,0.0033277767234875973,0.2697278442382813,-0.26307229079130606
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.27333334,0.003633329662254063,0.32282537841796877,-0.3155587190934606
0.0,0.0,0.54333335,0.0022833321002734943,0.34291790771484376,-0.3383512435142968
0.0,0.0,0.81,0.000949999038080033,0.29993170166015626,-0.29803170358399617
0.0,0.0,0.0,0.0,0.23561044311523438,-0.23561044311523438
0.0,0.0,0.0,0.0,0.23561044311523438,-0.23561044311523438
0.0,0.0,0.0,0.0,0.26117123413085935,-0.26117123413085935
0.0,0.0,0.70666665,0.001466665291395164,0.23053462219238283,-0.2276012916095925
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.2168686981201172,-0.2168686981201172
0.0,0.0,0.0,0.0,0.28321145629882816,-0.28321145629882816
0.0,0.0,0.6716667,0.0016416657703345646,0.325266357421875,-0.32198302588120586
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2525672607421875,-0.2525672607421875
0.0,0.0,0.0,0.0,0.2875499572753906,-0.2875499572753906
0.0,0.0,0.0,0.0,0.31910598754882813,-0.31910598754882813
0.0,0.0,0.0,0.0,0.31910598754882813,-0.31910598754882813
0.0,0.0,0.64,0.001799999171525988,0.3139218444824219,-0.3103218461393699
0.0,0.0,0.0,0.0,0.35459197998046876,-0.35459197998046876
1.0,0.499999750000125,0.9866667,-0.4999664167152474,0.3546709899902344,-1.3546038234207292
0.0,0.0,0.0,0.0,0.3516307373046875,-0.3516307373046875
0.0,0.0,0.0,0.0,0.3687015686035156,-0.3687015686035156
0.0,0.0,0.72,0.0013999984569503959,0.37552987670898436,-0.37272987979508354
0.0,0.0,0.0,0.0,0.3516307373046875,-0.3516307373046875
