demand,done,dropped,delay,delay_budget,service_time,avg_tx_power,avg_chan_gain,avg_signal,avg_interference,avg_sinr
1500000.0,1500000.0,0.0,0.12700000000000009,0.15,0.017000000000000008,1.64313596704201,3.4210698687044747e-13,4.0430968933856234e-11,0.0,202.6348547282956
1500000.0,1500000.0,0.0,0.1410000000000001,0.15,0.01900000000000001,1.7939851464731609,2.1745330897907434e-13,2.1065832343434504e-11,1.695749952006447e-14,84.12915009046681
1500000.0,1500000.0,0.0,0.1540000000000001,0.3,0.026000000000000016,2.4541184197747943,2.339091767595119e-13,3.785572562762406e-11,4.5302973824322445e-13,36.75231675057617
1500000.0,1500000.0,0.0,0.1220000000000001,0.3,0.017000000000000008,2.7,2.4364950404062794e-13,6.870003296578607e-11,4.174909569304675e-14,242.4965602712042
1500000.0,1500000.0,0.0,0.09400000000000007,0.3,0.02100000000000001,2.2,4.0096816198932715e-13,6.968648363445589e-11,3.130586127948635e-13,88.02970647545857
1500000.0,1500000.0,0.0,0.12600000000000008,0.3,0.03100000000000002,2.3636089121161037,5.007010455911311e-13,6.747190994252151e-11,4.793327171439035e-13,61.67727567206752
1500000.0,1500000.0,0.0,0.023000000000000013,0.3,0.023000000000000013,0.21898568813086983,2.8004154570804008e-12,3.009284617538369e-11,1.1020898385686752e-13,97.07472600844179
1500000.0,1500000.0,0.0,0.09800000000000007,0.15,0.02900000000000002,2.0,1.064950152753047e-13,6.2051095567077535e-12,3.263508640741078e-14,24.94911136344922
1500000.0,1233941.5956819952,266058.40431800473,0.1500000000000001,0.15,0.03100000000000002,2.948681170309065,3.8757855069595275e-13,8.439869867421084e-12,2.2737696028862146e-12,11.234168002253748
1500000.0,1500000.0,0.0,0.1480000000000001,0.3,0.060000000000000046,0.5932702513139188,2.1067599560903956e-13,3.5583349338582524e-12,1.7449752798092325e-12,8.235759851100603
1500000.0,1500000.0,0.0,0.18200000000000013,0.3,0.07100000000000005,1.1452846730388357,7.040099686845593e-14,1.6911465451013243e-12,6.806134621102986e-13,6.639278001900419
1500000.0,1500000.0,0.0,0.03400000000000002,0.15,0.023000000000000013,3.8,1.6748853317840783e-13,2.3615883178155504e-11,4.491930331844007e-14,101.9409361615961
1500000.0,1500000.0,0.0,0.1390000000000001,0.3,0.08800000000000006,2.1155393509985605,1.4763597946048571e-13,2.412625018951956e-12,4.446478782792413e-12,5.809197991213034
1500000.0,1500000.0,0.0,0.027000000000000017,0.15,0.01900000000000001,0.7340241891096451,3.6110647155589027e-12,5.831339469253264e-11,0.0,292.2592896936565
1500000.0,1500000.0,0.0,0.2650000000000002,0.3,0.03200000000000002,1.1582744720750626,1.315337947967997e-13,3.5964437940713544e-12,0.0,18.024917160465904
1500000.0,1500000.0,0.0,0.07700000000000005,0.3,0.027000000000000017,1.7686508626287607,1.7143291422462043e-13,9.20937436392873e-12,0.0,46.156208608953534
1500000.0,1500000.0,0.0,0.1470000000000001,0.3,0.01800000000000001,0.7665697253818496,5.316430177786491e-13,2.322986220196614e-11,0.0,116.42510374546127
1500000.0,1500000.0,0.0,0.08200000000000006,0.3,0.028000000000000018,1.9169272760489917,6.802322508034289e-14,7.77201599297193e-12,4.431745298747823e-15,37.90967788471644
1500000.0,1500000.0,0.0,0.048000000000000036,0.3,0.03900000000000003,2.428418124153601,2.755922032745437e-14,4.02345215290301e-12,8.580180142290934e-14,14.956192650818299
1500000.0,1500000.0,0.0,0.20700000000000016,0.3,0.023000000000000013,1.2300284965768593,1.8820499200334982e-13,1.2931821828826452e-11,2.1129198417514488e-14,55.067490712591756
1500000.0,1500000.0,0.0,0.05200000000000004,0.3,0.03400000000000002,2.1624643792789255,8.445568803663804e-14,6.709460261131159e-12,8.314551262195498e-14,23.675730470754186
1500000.0,1500000.0,0.0,0.037000000000000026,0.15,0.037000000000000026,3.9424457652265508,1.5710350686439257e-14,3.858455704038505e-12,3.7435948275659346e-14,15.974330446537175
1500000.0,1500000.0,0.0,0.04400000000000003,0.15,0.04400000000000003,2.710331021710492,1.3457058725907757e-14,2.2311030002810683e-12,0.0,11.18200340648374
1500000.0,1500000.0,0.0,0.05500000000000004,0.3,0.05500000000000004,2.2553822925824254,9.563612750036596e-15,1.3251536896104485e-12,5.99094600295411e-16,6.612245282251515
1500000.0,1500000.0,0.0,0.05500000000000004,0.3,0.05500000000000004,2.104208571294168,8.826142256400532e-15,1.135249701530555e-12,0.0,5.689726573862847
1500000.0,1500000.0,0.0,0.03800000000000003,0.3,0.03800000000000003,3.5651717901432347,1.1759609840820699e-14,2.5997342433030847e-12,0.0,13.02953613567161
1500000.0,1013994.8996503765,486005.1003496234,0.1500000000000001,0.15,0.01800000000000001,0.8800000000000001,2.1125342420701273e-13,9.120828450554974e-12,1.1261299377538545e-13,19.233381814485433
1500000.0,1500000.0,0.0,0.02900000000000002,0.15,0.027000000000000017,2.4283228639536962,5.6277175770835615e-14,8.405206336063332e-12,9.695033704370351e-15,40.72083510332581
1500000.0,1500000.0,0.0,0.08300000000000006,0.3,0.04200000000000003,1.9195736545330344,1.529446831396819e-14,1.8111169877665587e-12,5.912299166836054e-15,8.80390805986312
1500000.0,1500000.0,0.0,0.03000000000000002,0.15,0.03000000000000002,3.919517896188141,3.125729003210762e-14,7.600772469553209e-12,1.4736619915371026e-14,36.10278561339239
1500000.0,0.0,1500000.0,0.1500000000000001,0.15,0.0,,,,,
1500000.0,1500000.0,0.0,0.10500000000000008,0.3,0.017000000000000008,0.5660955401026969,1.2144219950094725e-12,3.368646488369662e-11,0.0,168.83226145742134
