id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,num_rejects,disconnects,cell_traffic,cell_dropped_traffic,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[3500. 3624.  864.  470.],10081.0,201.60000000059856,[55.839 21.733 53.427 70.601],12247.730529904682,5928.0,127170.0,122031.0,12389.0,9615000000.0,54824459.849783495,60.74660514782102,1.2490427536950728,25.43795258406904,32.49184882025364,5.341415334989928,1.2428330522765598,0.0564428132129749,2.5156234500545582,[0.277 0.108 0.265 0.35 ],0.9595895258315641,0.0057019719032536135,47693452.380810775,[17.361 17.976  4.286  2.331],29.4047619046746
1,[2129. 2394.  910.  543.],10081.0,201.60000000059856,[30.646 17.575 56.881 96.498],10550.940005325747,5296.0,133627.0,131098.0,3120.0,4626000000.0,71060935.65102366,52.33082038153688,0.3593691102073148,17.643090963198095,11.840256316686668,2.317669200563335,0.3177264160301557,0.0668584465826803,1.51671461164567,[0.152 0.087 0.282 0.479],0.9810741841094989,0.015361205285564993,22946428.571360443,[10.561 11.875  4.514  2.693],26.269841269763273
2,[1698. 2025.  918.  551.],10081.0,201.60000000059856,[ 24.474  17.767  56.003 103.356],10567.790922044953,3904.0,110827.0,109121.0,2032.0,3814500000.0,53793408.39261514,52.4143979865317,0.25695863505604116,16.900704295208808,8.112658892158631,1.4796627376962252,0.20702311278642993,0.03948021029659756,1.2445193929173692,[0.121 0.088 0.278 0.513],0.984606639176374,0.014102348510319869,18921130.952324774,[ 8.423 10.045  4.554  2.733],19.36507936502187
3,[2155. 2491.  929.  524.],10081.0,201.60000000059856,[31.31  18.663 56.804 94.823],10839.994323302848,4992.0,121662.0,119194.0,3221.0,4708500000.0,74999871.7593397,53.76447933390756,0.3583374665211721,17.871242932248784,12.280289370025926,2.2134871505846725,0.32615811923420296,0.05773236782065271,1.4336871342128756,[0.155 0.093 0.282 0.47 ],0.9797142904111391,0.015928612458179826,23355654.76183542,[10.689 12.356  4.608  2.599],24.761904761831243
4,[2185. 2491.  921.  548.],10081.0,201.60000000059856,[31.996 19.299 57.031 93.274],10775.614219234243,5864.0,128724.0,126213.0,3093.0,4753500000.0,69605892.00962016,53.445165257582204,0.36012300367026595,17.774823926197797,12.089272824054238,2.156305577383095,0.31594087888106337,0.0611050491022716,1.4892371788513044,[0.159 0.096 0.283 0.463],0.9804931481308847,0.014643082362389852,23578869.047549043,[10.838 12.356  4.568  2.718],29.087301587215226
5,[1804. 2014.  980.  555.],10081.0,201.60000000059856,[26.92  16.476 61.727 96.477],9820.696256707692,6448.0,112516.0,110705.0,2284.0,4272000000.0,42582338.544164345,48.708938878620195,0.3431405614522327,18.189862116853487,8.881883286710359,1.5338964231871923,0.23331018748140064,0.037297887114373575,1.3179248090467215,[0.134 0.082 0.306 0.479],0.9839045113583846,0.009967775876442965,21190476.190413274,[8.948 9.99  4.861 2.753],31.984126984032024
6,[2155. 2461.  924.  521.],10081.0,201.60000000059856,[31.864 18.666 60.48  90.59 ],10681.286843601674,5920.0,130622.0,128314.0,2973.0,4528500000.0,75390664.5121147,52.97731794267121,0.36543993651422874,17.861720067453625,11.171916063199335,2.195778348890199,0.30135899216347584,0.05376450748933637,1.4631484971728994,[0.158 0.093 0.3   0.449],0.9823306946762413,0.01664804339452682,22462797.618980926,[10.689 12.207  4.583  2.584],29.36507936499218
