id,sleep_switches,steps,time,sleep_time,energy_consumption,ant_switches,num_requests,cell_traffic,cell_dropped_traffic,disconnects,avg_pc,avg_tx_power,avg_num_ants,avg_sum_rate,avg_req_sum_rate,avg_serving_ues,avg_queued_ues,avg_covered_ues,avg_sleep_ratios,num_rejects,avg_reject_rate,avg_cell_drop_ratio,avg_cell_data_rate,avg_sleep_switch_fps,avg_ant_switch_fps
0,[2982. 3343. 1190.  459.],10081.0,201.60000000059856,[30.125 48.717 51.639 71.119],11700.3859988779,8464.0,4619.0,10873500000.0,107604365.15575312,1821.0,58.0318718325419,0.8949112191250788,46.646959627021126,13.679955977274172,0.7920048548478131,0.1948219422676322,0.2804285289157822,2.090070429520881,[0.149 0.242 0.256 0.353],0.0,0.0,0.009896019235366085,53936011.90460177,[14.792 16.582  5.903  2.277],41.98412698400233
1,[2044. 2335. 1242.  683.],10081.0,201.60000000059856,[22.725 20.645 58.54  99.69 ],10596.480501106813,12056.0,3993.0,4422000000.0,45236572.34391307,1372.0,52.55669328988535,0.397103461958137,27.891677412955065,9.131825308367597,0.6001472029712247,0.1442317230433489,0.30215256422973913,0.8384088880071422,[0.113 0.102 0.29  0.494],0.0,0.0,0.010229889720468809,21934523.809458684,[10.139 11.582  6.161  3.388],59.80158730140975
2,[1591. 1951. 1130.  733.],10081.0,201.60000000059856,[ 17.821  18.951  59.205 105.623],10405.735333431821,11416.0,2925.0,3951000000.0,33100435.20298636,924.0,51.61063055962535,0.28834441027675745,26.03035413153457,6.405267476212052,0.45306178084232485,0.09959329431604008,0.250272790397778,0.7487352445193929,[0.088 0.094 0.294 0.524],0.0,0.0,0.008377736067574377,19598214.2856561,[7.892 9.678 5.605 3.636],56.626984126816
3,[1969. 2298. 1305.  635.],10081.0,201.60000000059856,[21.639 23.512 67.274 89.175],10903.807912838323,11456.0,3403.0,4015500000.0,26747671.222287484,1271.0,54.08098359705317,0.3430612042456094,25.475250471183415,8.542792717632073,0.5481102953879768,0.13322091062394603,0.2624739609165757,0.7746255331812321,[0.107 0.117 0.334 0.442],0.0,0.0,0.006661106019745357,19918154.761845626,[ 9.767 11.399  6.473  3.15 ],56.82539682522811
4,[1928. 2236. 1236.  665.],10081.0,201.60000000059856,[22.713 22.072 61.761 95.054],10955.380204178638,11992.0,3623.0,4293000000.0,38702060.15485576,1281.0,54.336773158308546,0.3663128657871217,27.434976688820555,8.58152966102296,0.5935193948319553,0.13897430810435474,0.293621664517409,0.8222398571570281,[0.113 0.109 0.306 0.471],0.0,0.0,0.009015154939402692,21294642.857079633,[ 9.563 11.091  6.131  3.299],59.484126983950375
5,[1639. 1938. 1224.  687.],10081.0,201.60000000059856,[18.    19.928 64.93  98.742],10447.429154071031,10728.0,2720.0,3637500000.0,41334779.10806388,912.0,51.81742463084454,0.2762424362662416,23.904771352048407,6.591697713477478,0.4901720221032313,0.10167642098998116,0.22200178553714908,0.7013193135601626,[0.089 0.099 0.322 0.49 ],0.0,0.0,0.01136351315685605,18043154.76185119,[8.13  9.613 6.071 3.408],53.21428571412772
6,[2049. 2304. 1244.  657.],10081.0,201.60000000059856,[23.22  20.115 65.054 93.211],10921.083770360288,10224.0,3598.0,3915000000.0,36994769.79365197,1378.0,54.16666883424261,0.3476639222299356,24.324174189068543,8.96239595772584,0.6652410353203413,0.14542208114274377,0.2801309393909334,0.7664914195020335,[0.115 0.1   0.323 0.462],0.0,0.0,0.00944949420016653,19419642.8570852,[10.164 11.429  6.171  3.259],50.714285714135144
